cx,cy,ux,uy,dx,dy,dz,e1,e2,s1,s2,O_0,O_1,O_2,dray_0,dray_1,dray_2,H_0,H_1,H_2,r_0,r_1,r_2
0.50038186641866789,0.03108894520139982,-0.023740156459911982,-0.0044176925046555795,-0.011270693896466857,-0.0017896426925823015,-0.99993488219889859,0.33442706039101433,-0.0055550302026637693,1.5289699979109401,-0.55524792976364723,0.47664170995875588,0.026671252696744242,5,-0.011270693896466857,-0.0017896426925823015,-0.99993488219889859,0.50038186641866789,0.03108894520139982,0.025134853475436526,-0.10007510882098718,-0.0062177104786539936,0.9949604578428588
1.5888552038783019,1.4853575067715226,-0.0063907363717398032,0.021137978808423375,-0.027628822015320496,-0.00028048747493393344,-0.99961821187932653,-0.38943030487538471,-1.8167550113390598,1.5691058462836123,0.96433236819442847,1.5824644675065622,1.5064954855799459,5,-0.027628822015320496,-0.00028048747493393344,-0.99961821187932653,1.5888552038783019,1.4853575067715226,0.47307477818136745,-0.31635817811710698,-0.29575067227510532,0.90135955255782807
1.1027427609807741,-0.55494376394336964,-0.02348248528079442,-0.021564232393906924,0.018979200446206056,-0.028979872225174771,-0.99939979835711168,0.91684804451170765,0.66889844644693741,0.110148587663652,0.21548893918232892,1.0792602756999796,-0.57650799633727656,5,0.018979200446206056,-0.028979872225174771,-0.99939979835711168,1.1027427609807741,-0.55494376394336964,0.15240041780351349,-0.22044617480824941,0.11093723243869096,0.96906987078912654
-1.0991712400376326,0.39273626882885226,-0.018855394889749535,-0.0035001569049418479,0.0193245147920478,-0.009201767821864125,-0.99977091905946347,-0.25200659026730782,-0.20360042572294623,0.054303611713694272,1.5118295115637772,-1.1180266349273822,0.38923611192391039,5,0.0193245147920478,-0.009201767821864125,-0.99977091905946347,-1.0991712400376326,0.39273626882885226,0.13624191917794753,0.21975268277171889,-0.078518110330052349,0.97239069553591972
-0.79933486035509826,-1.7629934306179855,0.023357411769868386,0.00097574099389294853,-0.0028138460175372048,0.014862244706182786,-0.99988559143178124,0.55568790180807859,-0.058460125758861455,-0.57939205044339614,-0.63499848741165954,-0.77597744858522988,-1.7620176896240927,5,-0.0028138460175372048,0.014862244706182786,-0.99988559143178124,-0.79933486035509826,-1.7629934306179855,0.3747082055381078,0.15941992781952358,0.35161269624917452,0.92247157053776119
1.4942137815850476,-0.44947279555708519,0.0078880365019257225,0.022546909779092489,0.010837025674744649,-0.001649468329813498,-0.99993991725940901,1.6027050111724899,0.50668730422710384,0.067550558310654665,-0.34618184215272274,1.5021018180869734,-0.42692588577799273,5,0.010837025674744649,-0.001649468329813498,-0.99993991725940901,1.4942137815850476,-0.44947279555708519,0.24347006190245896,-0.29848909107439198,0.08978817346081619,0.95018016524033688
-1.9789387817377011,-0.70785461496717339,-0.0035889876805259347,-0.012450037666762094,0.015626932136193206,0.001620887330766984,-0.99987657824167075,-1.1090534117005277,-0.066861557469896027,0.87365803447020096,-0.39253724683749003,-1.9825277694182271,-0.7203046526339355,5,0.015626932136193206,0.001620887330766984,-0.99987657824167075,-1.9789387817377011,-0.70785461496717339,0.44172568577958221,0.39425220444453835,0.14102166522402201,0.90811788289189954
1.2849136735310651,-1.3992010837181925,0.0011870053955240158,0.01530195736310544,0.01662111170503414,-0.0058134321537002265,-0.99984495930733353,-0.22724258300056011,-0.22103435143897837,0.10959436799816868,-1.593010878745609,1.2861006789265892,-1.3838991263550871,5,0.01662111170503414,-0.0058134321537002265,-0.99984495930733353,1.2849136735310651,-1.3992010837181925,0.36087668211052615,-0.25631599111272652,0.27911416924505073,0.92541741567065083
1.1882777150081849,1.2653524152763027,0.01864046042823872,0.0088235599999296702,0.018419632968345343,0.023081324544393992,-0.99956388969319399,-0.23539835196509101,-0.85439551815407144,0.88458503256260534,-0.77059867656485981,1.2069181754364235,1.2741759752762323,5,0.018419632968345343,0.023081324544393992,-0.99956388969319399,1.1882777150081849,1.2653524152763027,0.30131206628306462,-0.23722518480289842,-0.25261221073446383,0.93803586428402486
-0.1282601886251169,-0.48221531379875016,-0.0077894666501986901,0.010854295214056148,-0.0091119738745842442,-0.00042943347264240238,-0.99995839289392519,0.5770467473006955,1.5244374527267601,-0.31359626128162549,-0.6015762521234661,-0.1360496552753156,-0.47136101858469404,5,-0.0091119738745842442,-0.00042943347264240238,-0.99995839289392519,-0.1282601886251169,-0.48221531379875016,0.024898228484817767,0.025651719685799546,0.096441867038881648,0.99500801783664827
-0.78787029272274589,1.9149915376448865,0.004514549114485733,0.0064811091420101776,0.03025630275355437,-0.043945630405355811,-0.99857565447589458,0.1914322591260928,-0.0020290276090286124,-0.99361634733971138,0.46091941571337952,-0.7833557436082601,1.9214726467868968,5,0.03025630275355437,-0.043945630405355811,-0.99857565447589458,-0.78787029272274589,1.9149915376448865,0.42879321874065524,0.15699779248413201,-0.38159763962802479,0.91089787275271938
-0.88629755159690671,0.3599667720424411,0.0091842186669771845,0.023578035423079003,-0.024921730255358571,-0.013835826619941174,-0.99959365607371786,2.015516053475408,-0.25811199526572426,-0.2028761960646632,-1.0449320235690858,-0.87711333292992955,0.38354480746552011,5,-0.024921730255358571,-0.013835826619941174,-0.99959365607371786,-0.88629755159690671,0.3599667720424411,0.091509942694132623,0.17722983010592283,-0.071981299889536943,0.98153363660489923
-0.98052164938350161,0.42022501531940515,-0.0072293111488243968,-0.008365927039433757,0.017218563311678287,-0.039339609129532931,-0.99907753264249577,0.31908845168654759,-1.2469762247076281,-1.1069310243514836,1.2796672718437896,-0.98775096053232603,0.41185908827997142,5,0.017218563311678287,-0.039339609129532931,-0.99907753264249577,-0.98052164938350161,0.42022501531940515,0.11380117684099367,0.19605355580496547,-0.084023242672271084,0.97698674399761753
-0.21969477646941371,0.55198632315332885,0.00095492432479950544,-0.0050862220160314726,0.009857341545801963,-0.064888555202940484,-0.99784382957521178,-0.90545305939464416,1.0813575693313382,1.5243580037828071,0.25932645747674282,-0.21873985214461419,0.54690010113729737,5,0.009857341545801963,-0.064888555202940484,-0.99784382957521178,-0.21969477646941371,0.55198632315332885,0.03529546957562768,0.043937860577997132,-0.1103945141410715,0.99291616748615052
0.018193035831813198,0.70580097525115315,0.013262369163926131,-0.01485441238932419,0.01746873436685668,-0.01060009343386019,-0.99979121887462763,0.55339140285082355,1.9522509436867783,-0.19672840206571665,-0.59300579694161559,0.031455404995739331,0.69094656286182898,5,0.01746873436685668,-0.01060009343386019,-0.99979121887462763,0.018193035831813198,0.70580097525115315,0.049848600321825656,-0.0036384263495833013,-0.14115318024190623,0.9899810814158494
0.21398940829796986,-1.3968479233265252,0.020458965699527511,-0.022464797236386475,0.037540326556904667,0.026642922262214205,-0.99893987735765688,-1.3532310647829418,0.041707080346346355,1.4791442109183066,0.95959538140086531,0.23444837399749738,-1.4193127205629117,5,0.037540326556904667,0.026642922262214205,-0.99893987735765688,0.21398940829796986,-1.3968479233265252,0.19969755877653411,-0.042763787610518078,0.27914703065186924,0.95929567587238029
1.9820011337375707,-0.23874613124724986,-0.017446886096159225,-0.014354590251233042,0.029675820577094791,0.00094198264942557696,-0.99955913198858026,-0.94209124141795741,-0.85537538383259604,-0.50417122934096359,0.2922680824953417,1.9645542476414115,-0.25310072149848289,5,0.029675820577094791,0.00094198264942557696,-0.99955913198858026,1.9820011337375707,-0.23874613124724986,0.39853282093225451,-0.39514700267397423,0.047598266497686684,0.9173839170729936
1.1706476768550123,-1.0417441526819067,0.021670969615371429,0.020773219856195416,-0.022891242925952592,-0.023438325084521507,-0.99946317386611971,-0.20531142710368377,0.21445394544308127,0.29673937804544731,-0.2987735866784475,1.1923186464703837,-1.0209709328257113,5,-0.022891242925952592,-0.023438325084521507,-0.99946317386611971,1.1706476768550123,-1.0417441526819067,0.24556468629729808,-0.23384767551434316,0.20809800711328325,0.94974232510298207
0.48871691776465065,-0.39000680758407347,-0.024741056709228396,0.017008440857919482,-0.0337482207878982,-0.018799953299507999,-0.99925353106685966,-0.040173941602943734,0.20659237721603418,-0.083969703533176024,0.5035208649940508,0.46397586105542227,-0.372998366726154,5,-0.0337482207878982,-0.018799953299507999,-0.99925353106685966,0.48871691776465065,-0.39000680758407347,0.039094953567130081,-0.097740395840080929,0.077998977256503788,0.99215068138260321
