t_s,Fx_N,Fy_N,Fz_N,Mx_Nm,My_Nm,Mz_Nm,Cd,Cl,Cm
3,1564.51,-237.001,-1206.09,17.7269,-461.411,118.577,1.52272,-1.17387,-0.106925
3.01,1575.29,-237.149,-1211.64,24.5803,-446.692,110.959,1.53322,-1.17928,-0.103514
3.02,1581.72,-241.371,-1217.13,18.1591,-444.044,115.85,1.53947,-1.18462,-0.102901
3.03,1587.95,-243.885,-1225.69,20.5296,-452.901,123.382,1.54553,-1.19295,-0.104953
3.04,1586.86,-242.321,-1224.49,25.8855,-462.054,117.513,1.54448,-1.19178,-0.107074
3.05,1585.22,-245.278,-1224.62,17.7864,-467.533,119.488,1.54287,-1.19191,-0.108344
3.06,1586.46,-246.323,-1229.16,15.9776,-468.307,124.128,1.54408,-1.19633,-0.108523
3.07,1587.19,-245.521,-1228.7,21.9822,-460.247,113.114,1.5448,-1.19588,-0.106655
3.08,1592.41,-249.34,-1231.34,17.0568,-447.551,111.084,1.54988,-1.19845,-0.103714
3.09,1602.72,-251.555,-1241.06,15.8698,-439.53,115.641,1.55991,-1.20791,-0.101855
3.1,1610.69,-251.138,-1247.99,24.0866,-434.477,108.734,1.56767,-1.21466,-0.100684
3.11,1618.51,-254.355,-1251.97,20.0211,-430.782,108.316,1.57527,-1.21853,-0.0998275
3.12,1625.12,-256.333,-1260.4,20.2105,-431.291,118.206,1.58171,-1.22674,-0.0999453
3.13,1627.58,-255.375,-1261.76,29.5668,-428.622,113.875,1.58411,-1.22805,-0.099327
3.14,1628.58,-256.382,-1258.81,26.7286,-425.972,112.895,1.58508,-1.22518,-0.0987128
3.15,1628.54,-257.942,-1259.64,25.814,-425.321,124.169,1.58504,-1.22599,-0.098562
3.16,1624.53,-256.076,-1256.42,34.3804,-429.053,121.808,1.58114,-1.22286,-0.0994269
3.17,1619.09,-255.903,-1249.64,32.5571,-429.878,119.613,1.57585,-1.21626,-0.099618
3.18,1618.04,-256.801,-1250.03,28.0405,-430.442,128.537,1.57482,-1.21664,-0.0997486
3.19,1617.59,-255.949,-1248.29,34.8744,-427.688,124.514,1.57439,-1.21494,-0.0991105
3.2,1616.89,-255.502,-1243.59,34.2815,-422.213,118.66,1.5737,-1.21037,-0.0978418
3.21,1619.34,-257.622,-1244.84,29.6903,-419.842,126.949,1.57609,-1.21159,-0.0972923
3.22,1619.37,-257.303,-1244.19,35.6761,-421.331,125.473,1.57611,-1.21096,-0.0976373
3.23,1617.28,-255.999,-1239.89,34.8624,-420.99,118.014,1.57408,-1.20677,-0.0975583
3.24,1616.19,-257.323,-1239.59,27.8723,-418.473,125.025,1.57302,-1.20648,-0.0969749
3.25,1615.81,-256.559,-1239.16,32.9373,-418.024,122.621,1.57265,-1.20606,-0.0968711
3.26,1613.59,-255.455,-1233.16,33.454,-413.925,114.737,1.57049,-1.20022,-0.0959212
3.27,1612.62,-256.693,-1231.99,26.7877,-411.675,121.477,1.56954,-1.19908,-0.0953996
3.28,1610.98,-255.328,-1230.83,30.7621,-411.609,120.627,1.56795,-1.19795,-0.0953843
3.29,1607.29,-253.861,-1225.16,32.8857,-413.031,112.72,1.56436,-1.19244,-0.095714
3.3,1604.53,-255.632,-1222.47,27.7298,-414.54,121.944,1.56167,-1.18982,-0.0960637
3.31,1601.39,-254.372,-1219.99,32.3047,-419.679,126.159,1.55862,-1.1874,-0.0972546
3.32,1593.65,-252.249,-1211.98,37.7826,-423.997,122.363,1.55108,-1.17961,-0.0982551
3.33,1585.94,-253.546,-1205.85,34.0297,-427.676,131.631,1.54358,-1.17364,-0.0991077
3.34,1579.82,-252.735,-1202.97,37.6731,-433.639,138.176,1.53762,-1.17084,-0.100489
3.35,1573.74,-250.352,-1196.59,44.7065,-435.399,133.438,1.5317,-1.16463,-0.100897
3.36,1570.35,-251.343,-1193.14,41.4665,-435.353,140.031,1.52841,-1.16127,-0.100887
3.37,1570.94,-251.11,-1194.63,43.4257,-434.155,146.686,1.52898,-1.16272,-0.100609
3.38,1569.61,-248.568,-1192.9,51.3572,-432.292,140.473,1.52769,-1.16104,-0.100177
3.39,1568.54,-248.983,-1191.01,48.5346,-427.317,145.562,1.52664,-1.1592,-0.0990244
3.4,1570.02,-249.448,-1192.72,47.8987,-423.532,150.994,1.52809,-1.16086,-0.0981475
3.41,1569.02,-247.606,-1191.25,53.6636,-420.462,143.751,1.52711,-1.15943,-0.097436
3.42,1569.94,-247.666,-1189.11,48.0107,-413.603,142.441,1.52801,-1.15735,-0.0958465
3.43,1571.2,-248.74,-1189.71,44.16,-409.883,145.089,1.52924,-1.15793,-0.0949845
3.44,1569.24,-246.889,-1187.33,48.0741,-408.755,136.955,1.52733,-1.15562,-0.094723
3.45,1566.01,-245.914,-1183.36,43.2639,-405.891,134.481,1.52418,-1.15175,-0.0940593
3.46,1564.67,-247.34,-1183.21,40.0247,-402.008,139.254,1.52288,-1.15161,-0.0931595
3.47,1561.2,-245.583,-1180.62,46.091,-398.707,133.046,1.5195,-1.14909,-0.0923946
3.48,1557.49,-244.815,-1175.99,43.1691,-392.025,130.09,1.51589,-1.14458,-0.0908462
3.49,1556.26,-246.294,-1176.02,39.7059,-386.443,134.203,1.51469,-1.14461,-0.0895526
3.5,1554.38,-245.028,-1174.76,44.7907,-382.862,129.356,1.51286,-1.14338,-0.0887228
3.51,1551.8,-243.785,-1171.32,42.3412,-379.36,124.395,1.51035,-1.14003,-0.0879113
3.52,1550.13,-245.285,-1170.86,37.8346,-377.452,130.351,1.50873,-1.13958,-0.087469
3.53,1549.02,-244.299,-1169.6,41.8392,-378.273,125.888,1.50764,-1.13836,-0.0876593
3.54,1544.1,-243.044,-1164.18,40.2776,-378.695,121.627,1.50286,-1.13308,-0.0877571
3.55,1540.43,-244.166,-1161.25,34.6333,-380.353,128.268,1.49928,-1.13023,-0.0881413
3.56,1534.97,-242.09,-1157.53,38.1712,-385.785,124.941,1.49397,-1.12661,-0.0894
3.57,1526.59,-239.981,-1149.92,38.5289,-388.738,122.193,1.48581,-1.11921,-0.0900844
3.58,1520.68,-240.7,-1145.25,33.3698,-390.018,128.563,1.48006,-1.11466,-0.0903809
3.59,1515.12,-238.386,-1142.16,36.6281,-391.992,128.837,1.47465,-1.11165,-0.0908384
3.6,1511.05,-237.168,-1137.01,39.1461,-391.415,123.174,1.47069,-1.10664,-0.0907048
3.61,1509.21,-237.8,-1135.25,34.6186,-389.612,129.9,1.4689,-1.10493,-0.0902869
3.62,1507.44,-236.843,-1135.11,36.5653,-390.584,128.713,1.46718,-1.10479,-0.0905122
