t_s,u_stream_mean,u_stream_rms,u_lat_rms,u_vert_rms
4.5,12,0.75899,0.755798,0.948245
4.51,12,0.746703,0.721256,0.904508
4.52,12,0.752502,0.72009,0.894742
4.53,12,0.735995,0.690943,0.865806
4.54,12,0.737478,0.703508,0.873831
4.55,12,0.718226,0.707405,0.857978
4.56,12,0.718816,0.758029,0.873238
4.57,12,0.698091,0.749536,0.847782
4.58,12,0.696918,0.770521,0.854392
4.59,12,0.671053,0.744098,0.828062
4.6,12,0.665185,0.748065,0.835945
4.61,12,0.642814,0.731508,0.812016
4.62,12,0.641118,0.749727,0.820151
4.63,12,0.62316,0.738477,0.795681
4.64,12,0.626363,0.758576,0.808275
4.65,12,0.609056,0.72915,0.779891
4.66,12,0.613688,0.733803,0.7864
4.67,12,0.59279,0.702413,0.754006
4.68,12,0.593804,0.712801,0.754584
4.69,12,0.573547,0.686723,0.733166
4.7,12,0.578933,0.69498,0.752152
4.71,12,0.565845,0.65616,0.724302
4.72,12,0.579344,0.658613,0.731511
4.73,12,0.569639,0.623062,0.701982
4.74,12,0.583095,0.631336,0.712653
4.75,12,0.571783,0.606583,0.690202
4.76,12,0.581877,0.624419,0.709521
4.77,12,0.571654,0.61704,0.68693
4.78,12,0.586156,0.650764,0.703918
4.79,12,0.579103,0.637045,0.677765
4.8,12,0.594903,0.660778,0.692725
4.81,12,0.591536,0.628922,0.669389
4.82,12,0.608652,0.633171,0.687771
4.83,12,0.609501,0.614834,0.661892
4.84,12,0.629965,0.642336,0.682121
4.85,12,0.631166,0.629777,0.659567
4.86,12,0.653651,0.655173,0.677498
4.87,12,0.65802,0.642244,0.654785
4.88,12,0.683325,0.668268,0.674482
4.89,12,0.686818,0.64579,0.651992
4.9,12,0.710156,0.66034,0.670502
4.91,12,0.711271,0.637881,0.659958
4.92,12,0.732225,0.654623,0.689759
4.93,12,0.731894,0.628236,0.683888
4.94,12,0.750742,0.644146,0.716969
4.95,12,0.751772,0.628507,0.710907
4.96,12,0.769752,0.66058,0.743361
4.97,12,0.764143,0.655464,0.739646
