t_s,u_stream_mean,u_stream_rms,u_lat_rms,u_vert_rms
9.55,12,0.659653,0.846645,0.798255
9.56,12,0.673347,0.865183,0.813913
9.57,12,0.665979,0.867947,0.785305
9.58,12,0.678004,0.899368,0.794162
9.59,12,0.67351,0.893842,0.768088
9.6,12,0.688246,0.918579,0.779684
9.61,12,0.68242,0.914467,0.752756
9.62,12,0.695808,0.939194,0.760188
9.63,12,0.683698,0.907005,0.715444
9.64,12,0.690267,0.901464,0.704852
9.65,12,0.677648,0.867614,0.663348
9.66,12,0.683987,0.867731,0.663256
9.67,12,0.673055,0.825792,0.623225
9.68,12,0.681219,0.819963,0.628058
9.69,12,0.668596,0.768787,0.609942
9.7,12,0.675034,0.759073,0.640794
9.71,12,0.659464,0.725501,0.643925
9.72,12,0.662901,0.737662,0.687537
9.73,12,0.649416,0.71987,0.681036
9.74,12,0.658555,0.74244,0.704916
9.75,12,0.651197,0.70027,0.686022
9.76,12,0.66674,0.693762,0.703291
9.77,12,0.66048,0.651324,0.688329
9.78,12,0.675911,0.650979,0.711798
9.79,12,0.6685,0.636902,0.680889
9.8,12,0.680915,0.671114,0.687971
9.81,12,0.674949,0.658464,0.667279
9.82,12,0.688522,0.687055,0.684673
9.83,12,0.679736,0.667045,0.667014
9.84,12,0.690153,0.684673,0.685915
9.85,12,0.680211,0.662963,0.65473
9.86,12,0.690661,0.684251,0.666597
9.87,12,0.685061,0.659143,0.633739
9.88,12,0.70028,0.671279,0.643211
9.89,12,0.694402,0.640251,0.60829
9.9,12,0.707683,0.649847,0.621383
9.91,12,0.69959,0.625296,0.601231
9.92,12,0.709316,0.642922,0.624165
9.93,12,0.701555,0.613335,0.61143
9.94,12,0.714313,0.627337,0.640787
9.95,12,0.706297,0.615734,0.641578
9.96,12,0.715969,0.647867,0.686995
9.97,12,0.703016,0.641971,0.684495
9.98,12,0.70671,0.682757,0.714672
9.99,12,0.695514,0.704146,0.695907
10,12,0.705106,0.764124,0.710272
10.01,12,0.695781,0.763734,0.688507
10.02,12,0.705809,0.795339,0.704781
10.03,12,0.698155,0.775611,0.685345
10.04,12,0.710104,0.785268,0.707481
10.05,12,0.70559,0.760368,0.682777
10.06,12,0.722265,0.765731,0.692345
10.07,12,0.72258,0.753779,0.643301
10.08,12,0.741463,0.779843,0.637254
10.09,12,0.736208,0.771351,0.606006
10.1,12,0.747348,0.793767,0.621121
10.11,12,0.73922,0.774261,0.615202
10.12,12,0.749808,0.787478,0.65418
10.13,12,0.746573,0.783646,0.656146
10.14,12,0.760776,0.809504,0.695796
10.15,12,0.753411,0.780966,0.681083
10.16,12,0.762367,0.784065,0.703017
10.17,12,0.75005,0.755775,0.701895
10.18,12,0.754301,0.765163,0.736928
10.19,12,0.740362,0.758907,0.719451
10.2,12,0.743047,0.785187,0.73708
10.21,12,0.730513,0.772763,0.696948
10.22,12,0.734892,0.788502,0.699784
10.23,12,0.726264,0.767259,0.679808
10.24,12,0.734555,0.776108,0.697362
10.25,12,0.723445,0.758209,0.690992
10.26,12,0.728064,0.772195,0.726516
10.27,12,0.712198,0.773831,0.727387
10.28,12,0.713933,0.811124,0.76612
10.29,12,0.697301,0.807699,0.749725
10.3,12,0.700385,0.835989,0.768674
10.31,12,0.685751,0.815572,0.755697
10.32,12,0.692235,0.825194,0.779745
10.33,12,0.677291,0.808835,0.761257
10.34,12,0.681804,0.830548,0.776197
10.35,12,0.664563,0.819577,0.755323
10.36,12,0.667903,0.843348,0.767213
10.37,12,0.652124,0.828374,0.760991
10.38,12,0.654991,0.845949,0.7944
10.39,12,0.6373,0.839611,0.792756
10.4,12,0.639495,0.859769,0.823128
10.41,12,0.622046,0.825871,0.827457
10.42,12,0.625542,0.81706,0.865349
10.43,12,0.608922,0.76168,0.866641
10.44,12,0.616316,0.737393,0.895038
10.45,12,0.605249,0.687289,0.877526
10.46,12,0.618832,0.680578,0.886188
10.47,12,0.610285,0.647993,0.858526
10.48,12,0.624931,0.665686,0.863077
10.49,12,0.617643,0.659291,0.847831
10.5,12,0.633772,0.696196,0.866146
10.51,12,0.630894,0.684268,0.850603
10.52,12,0.651735,0.713362,0.866253
10.53,12,0.649573,0.711302,0.842904
10.54,12,0.670413,0.748615,0.846977
10.55,12,0.666534,0.747341,0.815508
10.56,12,0.682169,0.781903,0.815313
10.57,12,0.676223,0.775352,0.794755
10.58,12,0.688972,0.798641,0.80938
10.59,12,0.683746,0.796952,0.785699
10.6,12,0.698309,0.827947,0.794906
10.61,12,0.690548,0.814862,0.761349
10.62,12,0.70143,0.835503,0.765468
10.63,12,0.690324,0.817592,0.736526
10.64,12,0.698654,0.831155,0.742346
10.65,12,0.688785,0.799724,0.724016
10.66,12,0.697802,0.803766,0.745736
10.67,12,0.684187,0.753454,0.728528
10.68,12,0.687565,0.734664,0.754491
10.69,12,0.666677,0.692871,0.749279
10.7,12,0.663464,0.689922,0.783614
10.71,12,0.642449,0.663354,0.787029
10.72,12,0.642956,0.676172,0.823254
10.73,12,0.624866,0.646965,0.805328
10.74,12,0.628992,0.657851,0.819839
10.75,12,0.616682,0.649993,0.784688
10.76,12,0.626235,0.686484,0.782443
10.77,12,0.613275,0.691864,0.744864
10.78,12,0.621234,0.733435,0.741066
10.79,12,0.609249,0.730092,0.711783
10.8,12,0.618535,0.759517,0.719532
10.81,12,0.605422,0.743703,0.712413
10.82,12,0.61433,0.758549,0.740841
10.83,12,0.598955,0.708708,0.724263
10.84,12,0.603603,0.696378,0.743677
10.85,12,0.585779,0.654212,0.725377
10.86,12,0.589763,0.659015,0.739866
10.87,12,0.570612,0.634786,0.718519
10.88,12,0.573548,0.656088,0.736426
10.89,12,0.555234,0.633123,0.725593
10.9,12,0.562435,0.648538,0.750322
10.91,12,0.554354,0.594397,0.733322
10.92,12,0.570471,0.582535,0.751075
10.93,12,0.564316,0.539676,0.733268
10.94,12,0.582835,0.559748,0.748485
10.95,12,0.578658,0.550735,0.721732
10.96,12,0.59818,0.590424,0.732327
10.97,12,0.591663,0.588103,0.706983
10.98,12,0.608501,0.626026,0.722638
10.99,12,0.603006,0.594935,0.703613
11,12,0.621261,0.608538,0.720551
