t_s,Fx_N,Fy_N,Fz_N,Mx_Nm,My_Nm,Mz_Nm,Cd,Cl,Cm
3,1053.85,180.855,881.312,5.0159,526.732,-109.952,1.0257,0.857771,0.122063
3.00667,1053.01,182.076,880.525,6.37092,528.624,-109.993,1.02489,0.857005,0.122501
3.01333,1052.54,181.459,881.913,4.83346,530.305,-110.175,1.02442,0.858356,0.122891
3.02,1052.56,180.622,879.185,4.26727,532.429,-110.563,1.02444,0.855701,0.123383
3.02667,1051.21,181.822,877.745,4.67805,533.33,-109.213,1.02313,0.8543,0.123591
3.03333,1049.13,181.611,878.421,2.32399,532.666,-108.054,1.02111,0.854958,0.123438
3.04,1048.21,180.411,876.555,1.44882,530.981,-107.581,1.02021,0.853141,0.123047
3.04667,1046.56,181.126,874.761,1.9588,528.176,-105.55,1.0186,0.851395,0.122397
3.05333,1045.83,181.05,876.304,1.05773,526.149,-106.019,1.0179,0.852897,0.121928
3.06,1045.02,179.675,875.2,1.19214,523.183,-106.036,1.0171,0.851823,0.12124
3.06667,1044.72,179.739,874.482,3.77961,520.658,-106.618,1.01682,0.851124,0.120655
3.07333,1044.2,179.639,875.558,2.95068,519.819,-106.623,1.0163,0.852171,0.120461
3.08,1043.49,178.705,875.946,2.56305,517.434,-107.231,1.01562,0.852548,0.119908
3.08667,1042.33,178.634,873.526,3.81098,516.69,-105.876,1.01449,0.850194,0.119735
3.09333,1041.59,178.988,873.476,0.737686,518.138,-104.859,1.01377,0.850145,0.120071
3.1,1039.18,178.202,873.245,-0.686555,517.539,-104.369,1.01142,0.84992,0.119932
3.10667,1038.31,178.652,871.001,0.852349,517.34,-102.684,1.01058,0.847735,0.119886
3.11333,1037.35,178.857,870.391,-1.06205,518.522,-102.873,1.00965,0.847142,0.12016
3.12,1034.98,178.236,870.843,-2.36059,517.499,-101.988,1.00734,0.847582,0.119923
3.12667,1034.16,177.45,869.582,1.06915,514.757,-101.274,1.00654,0.846355,0.119287
3.13333,1034.56,177.807,868.877,-0.17354,515.375,-102.98,1.00692,0.845668,0.119431
3.14,1032.55,177.434,870.147,-0.239368,512.994,-103.062,1.00497,0.846905,0.118879
3.14667,1031.94,176.688,869.722,3.07589,510.455,-102.155,1.00437,0.846491,0.118291
3.15333,1033.34,176.951,869.052,2.6326,510.855,-104.565,1.00574,0.845839,0.118383
3.16,1031.94,176.804,870.699,1.7607,509.563,-104.806,1.00438,0.847441,0.118084
3.16667,1030.26,176.19,870.648,5.51871,507.787,-101.621,1.00274,0.847392,0.117672
3.17333,1031.56,176.258,869.15,4.15155,508.17,-104.794,1.004,0.845935,0.117761
3.18,1029.9,176.629,869.974,2.15594,504.435,-104.065,1.00239,0.846736,0.116896
3.18667,1028.32,175.797,871.178,6.19056,499.865,-100.016,1.00086,0.847908,0.115836
3.19333,1030.3,175.628,870.475,5.36373,497.079,-103.399,1.00278,0.847224,0.115191
3.2,1029.94,176.225,871.264,3.15213,494.613,-102.901,1.00243,0.847991,0.114619
3.20667,1029.03,175.049,873.835,7.56054,490.376,-99.4017,1.00154,0.850494,0.113638
3.21333,1031.11,175.37,872.76,5.9005,488.81,-102.575,1.00357,0.849447,0.113275
3.22,1031.77,176.243,872.989,3.10167,487.718,-103.448,1.00421,0.849671,0.113022
3.22667,1030.59,175.524,875.49,6.50746,484.14,-97.6093,1.00306,0.852105,0.112193
3.23333,1032.94,175.826,875.31,5.37985,481.43,-100.149,1.00534,0.85193,0.111564
3.24,1033.78,176.738,875.424,2.23874,479.178,-100.787,1.00617,0.852041,0.111043
3.24667,1032.17,176.021,877.693,4.96283,475.725,-94.8959,1.0046,0.854249,0.110242
3.25333,1033.48,176.099,877.461,4.04227,473.483,-96.6787,1.00587,0.854024,0.109723
3.26,1034.3,177.097,876.666,0.532037,473.303,-97.2937,1.00668,0.85325,0.109681
3.26667,1032.46,176.305,878.501,3.81191,469.962,-92.8975,1.00488,0.855036,0.108907
3.27333,1031.91,175.968,878.038,3.48307,469.226,-94.5061,1.00435,0.854585,0.108736
3.28,1032.61,177.33,876.31,1.77959,469.949,-96.9434,1.00502,0.852902,0.108904
3.28667,1029.69,176.291,876.85,4.6736,468.342,-92.6107,1.00218,0.853429,0.108531
3.29333,1029.21,176.374,877.214,3.80388,467.459,-93.4276,1.00172,0.853783,0.108327
3.3,1029.34,177.575,874.742,0.797531,468.872,-95.0513,1.00185,0.851377,0.108654
3.30667,1027.49,177.232,874.209,2.33487,469.421,-89.9945,1.00004,0.850858,0.108782
3.31333,1025.82,176.712,874.28,0.312544,468.87,-90.174,0.998423,0.850927,0.108654
3.32,1026.55,177.668,871.841,-1.76763,470.416,-92.5728,0.999132,0.848553,0.109012
3.32667,1024.71,176.942,869.722,0.743212,473.042,-88.9977,0.997339,0.846491,0.109621
3.33333,1022.35,176.027,868.637,0.650633,474.35,-90.7075,0.995046,0.845434,0.109924
3.34,1021.88,175.951,865.674,0.347078,475.231,-95.1069,0.994582,0.842551,0.110128
3.34667,1019.95,174.575,862.237,4.12123,476.999,-93.5552,0.992704,0.839206,0.110537
3.35333,1016.67,173.329,861.424,4.99408,476.514,-95.318,0.989519,0.838414,0.110425
3.36,1017.5,173.443,859.859,4.23726,477.235,-99.0176,0.990326,0.836891,0.110592
3.36667,1016.81,172.348,856.779,6.98772,478.776,-97.653,0.989654,0.833893,0.110949
3.37333,1014.47,171.472,857.129,6.95944,478.718,-97.3008,0.987376,0.834234,0.110936
3.38,1015.04,172.498,857.52,3.99362,478.237,-98.9567,0.987931,0.834615,0.110824
3.38667,1016.51,172.007,856.27,4.81953,478.262,-96.6337,0.989355,0.833398,0.11083
3.39333,1014.86,171.958,858.335,4.15164,475.797,-94.1125,0.987748,0.835408,0.110259
3.4,1015.41,173.25,859.592,-0.10777,473.171,-94.2853,0.988285,0.836632,0.10965
3.40667,1016.81,173.528,858.405,0.109565,472.762,-91.415,0.989653,0.835476,0.109556
3.41333,1016.47,173.279,859.29,-0.2042,474.747,-89.9286,0.989322,0.836338,0.110016
3.42,1016.46,174.056,860.491,-2.69312,477.875,-91.5382,0.989311,0.837506,0.110741
3.42667,1018.25,174.045,859.151,-2.41635,480.895,-92.1456,0.99105,0.836202,0.11144
3.43333,1016.68,173.697,858.513,-1.30113,482.479,-90.5781,0.989527,0.835581,0.111808
3.44,1016.05,174.749,860.786,-4.27749,482.387,-89.9999,0.988906,0.837794,0.111786
3.44667,1017.42,175.006,860.164,-4.54053,480.685,-89.8185,0.990244,0.837188,0.111392
3.45333,1017.42,174.538,860.529,-3.58217,479.845,-87.2153,0.99024,0.837544,0.111197
3.46,1017.37,175.687,862.548,-5.896,478.095,-87.1096,0.990194,0.839509,0.110792
3.46667,1018.71,175.401,862.113,-5.80462,479.588,-88.1772,0.991499,0.839085,0.111138
3.47333,1017.4,174.475,859.542,-3.01069,482.938,-88.5768,0.990224,0.836583,0.111914
3.48,1016.59,174.486,859.609,-4.36858,486.407,-90.2802,0.989436,0.836648,0.112718
3.48667,1016.79,174.647,858.728,-2.66701,489.78,-93.5596,0.98963,0.835791,0.113499
3.49333,1014.86,173.141,855.634,-0.0452159,492.16,-94.0099,0.987748,0.83278,0.114051
3.5,1014.1,172.998,855.834,-1.56338,494.005,-94.1077,0.987011,0.832974,0.114479
3.50667,1013.59,173.53,855.513,-1.961,494.427,-95.6278,0.986511,0.832661,0.114576
3.51333,1012.1,172.574,853.556,-0.266991,494.498,-95.3394,0.985065,0.830757,0.114593
3.52,1012.16,172.247,854.256,-1.87014,494.561,-94.1567,0.985126,0.831438,0.114607
3.52667,1011.82,173.585,854.665,-2.96839,494.761,-95.4129,0.984798,0.831837,0.114654
3.53333,1010.19,172.752,852.624,-0.80321,495.563,-95.2889,0.98321,0.82985,0.11484
3.54,1010.22,171.937,852.05,-1.48756,497.307,-95.1187,0.983236,0.829291,0.115244
3.54667,1010.25,173.307,852.313,-2.70249,498.641,-97.3732,0.983264,0.829547,0.115553
3.55333,1007.91,171.754,850.68,0.930246,497.669,-97.0999,0.980984,0.827957,0.115328
3.56,1007.71,170.921,849.074,1.2684,498.873,-97.6624,0.980793,0.826395,0.115607
3.56667,1007.12,172.116,848.56,-0.593331,499.429,-98.8917,0.980223,0.825894,0.115735
3.57333,1004.05,170.936,846.964,2.84084,498.92,-98.8015,0.977228,0.82434,0.115617
3.58,1003.17,169.716,844.076,2.75339,499.304,-98.603,0.976379,0.82153,0.115707
3.58667,1002.95,171.305,843.965,0.234365,499.936,-99.8362,0.976162,0.821422,0.115853
3.59333,999.485,170.07,843.07,4.13709,498.697,-98.9491,0.972788,0.820551,0.115566
3.6,999.962,168.952,841.412,4.18426,497.883,-98.7584,0.973252,0.818937,0.115377
3.60667,1001.34,170.782,841.56,0.930066,497.474,-99.8046,0.974592,0.819082,0.115282
3.61333,998.725,169.59,842.151,4.36738,497.236,-98.2901,0.972048,0.819657,0.115227
3.62,999.489,168.101,840.53,3.94972,497.045,-98.8436,0.972792,0.818078,0.115183
3.62667,1001.59,170.429,840.093,-0.301621,499.891,-100.395,0.974839,0.817654,0.115842
3.63333,998.201,169.163,839.335,2.69484,501.945,-97.8624,0.971538,0.816915,0.116318
3.64,997.387,167.284,836.994,2.50886,502.268,-98.6598,0.970746,0.814637,0.116393
3.64667,998.549,169.225,834.861,-1.67267,504.825,-100.676,0.971877,0.812561,0.116986
3.65333,994.249,168.138,833.714,1.42079,507.236,-98.0259,0.967692,0.811445,0.117545
3.66,991.984,165.709,831.373,3.80809,506.243,-99.7804,0.965487,0.809167,0.117314
3.66667,993.532,167.387,829.227,-0.725631,506.865,-102.809,0.966994,0.807077,0.117459
3.67333,989.757,166.568,829.156,3.16453,508.029,-99.812,0.96332,0.807009,0.117728
3.68,988.018,164.18,828.282,5.96471,505.179,-101.63,0.961627,0.806158,0.117068
3.68667,990.52,165.804,826.384,1.07722,504.612,-104.304,0.964062,0.80431,0.116937
3.69333,987.959,165.832,827.903,3.70216,504.434,-100.811,0.961569,0.805789,0.116895
3.7,986.204,163.609,828.393,6.61667,500.909,-100.596,0.959862,0.806266,0.116078
3.70667,990.1,165.477,827.958,2.18805,498.812,-104.735,0.963654,0.805843,0.115592
3.71333,988.799,165.488,829.206,4.57597,499.432,-101.375,0.962387,0.807057,0.115736
3.72,987.325,163.431,830.711,8.14894,497.808,-101.477,0.960953,0.808522,0.11536
3.72667,990.653,165.295,828.988,4.19518,497.37,-105.906,0.964192,0.806845,0.115258
3.73333,989.617,165.763,829.449,5.08512,501.947,-102.533,0.963183,0.807294,0.116319
3.74,985.941,163.708,829.365,8.27319,501.997,-102.666,0.959605,0.807212,0.116331
3.74667,987.602,164.792,826.077,3.71516,503.504,-105.638,0.961222,0.804011,0.11668
3.75333,985.464,165.576,825.155,3.80415,506.726,-102.601,0.959141,0.803115,0.117426
3.76,980.579,163.65,825.332,6.39898,504.837,-101.05,0.954387,0.803287,0.116989
3.76667,981.967,164.598,822.287,2.42053,503.001,-102.745,0.955738,0.800323,0.116563
3.77333,980.375,165.22,821.707,2.94004,503.073,-100.702,0.954188,0.799758,0.11658
3.78,977.061,163.011,822.269,5.92691,502.535,-100.353,0.950963,0.800305,0.116455
3.78667,979.017,163.629,820.685,3.50813,499.879,-102.647,0.952867,0.798764,0.11584
3.79333,979.207,164.588,821.199,3.74114,501.555,-102.279,0.953051,0.799264,0.116228
3.8,978.257,163.105,822.278,6.36414,503.759,-101.459,0.952127,0.800314,0.116739
3.80667,980.621,163.862,821.836,4.26039,504.227,-104.052,0.954428,0.799884,0.116847
