t_s,Fx_N,Fy_N,Fz_N,Mx_Nm,My_Nm,Mz_Nm,Cd,Cl,Cm
3,799.438,470.178,785.957,-2.03595,438.658,-257.486,0.778084,0.764964,0.101653
3.00667,798.171,469.565,784.268,-1.97086,441.141,-260.465,0.776851,0.76332,0.102228
3.01333,795.829,470.047,782.672,-3.50575,442.359,-261.665,0.774572,0.761766,0.10251
3.02,796.123,468.222,781.539,-3.01379,443.603,-259.996,0.774858,0.760663,0.102799
3.02667,794.697,467.1,780.367,-3.2226,444.04,-261.442,0.77347,0.759523,0.1029
3.03333,792.846,468.31,778.487,-4.33135,443.418,-262.3,0.771669,0.757693,0.102756
3.04,794.121,466.989,778.578,-3.32274,442.627,-259.56,0.772909,0.757782,0.102572
3.04667,793.59,466.107,778.336,-2.27077,441.67,-260.405,0.772392,0.757545,0.102351
3.05333,792.842,467.901,778.035,-3.38309,441.705,-260.633,0.771664,0.757253,0.102359
3.06,794.455,467.251,777.281,-2.58252,442.08,-258.702,0.773235,0.756519,0.102446
3.06667,795.134,466.696,778.591,-2.41922,441.58,-259.33,0.773895,0.757794,0.10233
3.07333,794.724,468.443,778.492,-3.6781,442.712,-259.752,0.773496,0.757697,0.102592
3.08,796.798,468.311,777.7,-2.99823,443.885,-258.425,0.775515,0.756927,0.102864
3.08667,796.571,467.021,778.091,-2.36826,444.27,-259.833,0.775294,0.757307,0.102953
3.09333,795.528,466.819,777.247,-2.60671,447.967,-263.39,0.774278,0.756486,0.10381
3.1,795.764,466.014,773.923,-1.07157,452.97,-264.44,0.774508,0.753251,0.104969
3.10667,793.549,463.127,771.657,-0.6781,456.308,-267.386,0.772352,0.751045,0.105743
3.11333,790.557,461.799,769.287,-1.67682,459.809,-271.185,0.76944,0.748739,0.106554
3.12,789.538,461.024,765.971,-0.876823,464.606,-270.82,0.768449,0.745511,0.107666
3.12667,787.508,459.343,764.061,-2.04226,462.563,-270.395,0.766473,0.743652,0.107192
3.13333,785.62,459.551,764.828,-4.01869,461.762,-270,0.764635,0.744399,0.107007
3.14,786.672,460.841,764.68,-4.09423,461.71,-266.413,0.765659,0.744255,0.106995
3.14667,786.268,461.275,765.05,-5.09786,456.263,-263.438,0.765266,0.744615,0.105732
3.15333,786.722,462.091,768.678,-6.23566,452.871,-263.179,0.765708,0.748146,0.104946
3.16,789.298,464.306,770.519,-5.97086,452.309,-259.346,0.768215,0.749938,0.104816
3.16667,790.727,465.985,772.284,-6.93862,448.374,-257.176,0.769606,0.751655,0.103904
3.17333,791.935,466.706,775.41,-7.0299,446.622,-257.533,0.770782,0.754699,0.103498
3.18,794.443,468.161,777.768,-5.91374,448.498,-256.223,0.773223,0.756993,0.103933
3.18667,793.777,469.518,777.243,-6.77242,446.486,-255.352,0.772574,0.756482,0.103467
3.19333,792.867,468.558,777.684,-6.67207,445.891,-256.827,0.771689,0.756911,0.103329
3.2,794.447,468.893,778.705,-6.02801,448.293,-256.207,0.773227,0.757905,0.103885
3.20667,792.319,468.868,776.117,-7.50359,446.838,-255.155,0.771156,0.755386,0.103548
3.21333,791.405,468.092,775.698,-8.5047,445.582,-256.235,0.770266,0.754979,0.103257
3.22,790.929,467.349,775.478,-7.79622,448.337,-254.796,0.769803,0.754764,0.103896
3.22667,789.667,467.272,772.703,-9.92805,448.844,-254.165,0.768574,0.752063,0.104013
3.23333,788.646,466.055,770.897,-9.10465,448.891,-257.397,0.767581,0.750305,0.104024
3.24,788.394,464.551,771.167,-7.2968,451.254,-257.865,0.767335,0.750568,0.104572
3.24667,787.346,464.911,769.972,-8.65854,451.037,-257.678,0.766315,0.749405,0.104521
3.25333,786.984,464.333,768.13,-7.4,449.919,-259.242,0.765963,0.747612,0.104262
3.26,786.94,463.171,768.481,-5.5295,450.797,-259.429,0.76592,0.747955,0.104466
3.26667,786.483,463.779,769.239,-6.94848,449.542,-258.057,0.765475,0.748692,0.104175
3.27333,785.929,464.673,768.134,-6.3868,448.009,-258.166,0.764936,0.747616,0.10382
3.28,787.332,463.349,769.589,-3.92979,446.408,-257.746,0.766301,0.749033,0.103449
3.28667,787.233,464.958,771.725,-5.94352,443.082,-255.326,0.766205,0.751112,0.102678
3.29333,787.24,466.184,771.717,-5.70126,440.344,-254.369,0.766212,0.751104,0.102043
3.3,788.934,464.605,773.049,-3.26788,439.279,-254.718,0.767861,0.7524,0.101796
3.30667,788.017,465.792,774.805,-4.40051,436.645,-253.055,0.766969,0.754109,0.101186
3.31333,788.109,466.637,774.259,-4.48492,435.577,-253.845,0.767058,0.753578,0.100939
3.32,789.357,464.935,773.879,-1.76715,436.525,-254.505,0.768273,0.753208,0.101158
3.32667,788.65,464.879,774.59,-3.34715,435.828,-254.473,0.767585,0.7539,0.100997
3.33333,787.08,465.145,773.081,-3.13485,435.736,-254.418,0.766057,0.752431,0.100976
3.34,787.531,463.047,770.863,-0.809194,436.543,-255.37,0.766495,0.750272,0.101163
3.34667,785.423,462.346,770.555,-2.11096,435.452,-254.734,0.764444,0.749972,0.10091
3.35333,784.26,463.206,770.134,-2.17661,434.986,-254.343,0.763311,0.749563,0.100802
3.36,783.944,460.82,766.489,0.713197,436.6,-255.577,0.763004,0.746015,0.101176
3.36667,782.261,459.595,765.662,-0.123456,435.447,-256.545,0.761366,0.745211,0.100909
3.37333,780.92,460.837,765.078,0.11351,434.589,-254.977,0.760061,0.744642,0.10071
3.38,781.043,458.847,762.37,2.52492,435.712,-255.132,0.760181,0.742006,0.10097
3.38667,780.081,458.477,762.693,-0.0591452,432.114,-255.228,0.759245,0.742321,0.100136
3.39333,778.86,460.115,763.874,0.990042,428.545,-252.006,0.758056,0.743471,0.099309
3.4,779.927,459.087,763.022,3.08592,428.075,-251.113,0.759094,0.742641,0.0992003
