t_s,Fx_N,Fy_N,Fz_N,Mx_Nm,My_Nm,Mz_Nm,Cd,Cl,Cm
3,1131.05,140.466,769.026,-6.67119,439.488,-75.2121,1.10084,0.748484,0.101845
3.00667,1130.92,140.428,769.061,-5.64679,439.705,-74.9675,1.10071,0.748518,0.101895
3.01333,1129.87,140.706,766.275,-5.87365,437.43,-73.674,1.09969,0.745807,0.101368
3.02,1129.36,140.667,767.508,-7.30596,439.635,-74.3587,1.09919,0.747007,0.101879
3.02667,1128.38,140.483,766.245,-5.90787,441.707,-75.272,1.09824,0.745778,0.102359
3.03333,1126.92,140.678,764.609,-5.37852,436.321,-74.4088,1.09682,0.744185,0.101111
3.04,1125.66,140.812,765.618,-6.07067,435.633,-74.8329,1.09559,0.745167,0.100952
3.04667,1126.07,140.653,765.694,-5.27628,435.292,-75.1488,1.09599,0.745241,0.100873
3.05333,1125.82,141.019,764.734,-3.72164,428.541,-74.3588,1.09575,0.744308,0.0993081
3.06,1126.11,141.293,766.092,-4.76483,428.687,-74.4096,1.09603,0.745629,0.0993421
3.06667,1126.68,141.235,766.605,-3.99048,430.514,-75.134,1.09659,0.746128,0.0997655
3.07333,1126.38,140.994,764.429,-3.55732,429.172,-75.1464,1.09629,0.74401,0.0994543
3.08,1126.16,141.418,764.686,-3.16636,432.128,-76.0197,1.09608,0.74426,0.100139
3.08667,1125.84,141.112,764.449,-3.20885,435.999,-77.6267,1.09577,0.74403,0.101036
3.09333,1124.37,141.061,762.456,-2.1811,433.694,-77.868,1.09433,0.74209,0.100502
3.1,1123.27,141.334,761.482,-1.78659,434.743,-77.8282,1.09327,0.741142,0.100745
3.10667,1121.55,140.627,760.909,-1.78637,436.623,-79.5123,1.0916,0.740584,0.101181
3.11333,1119.87,140.729,758.739,-0.678066,433.152,-79.5121,1.08996,0.738473,0.100377
3.12,1118.97,140.694,757.776,-0.501052,432.82,-79.2358,1.08908,0.737536,0.1003
3.12667,1118.28,140.806,758.648,-0.430796,433.853,-79.7385,1.08841,0.738384,0.100539
3.13333,1117.34,140.25,757.434,-0.0799308,427.662,-80.2573,1.08749,0.737202,0.0991045
3.14,1117.26,140.628,758.017,0.0382092,425.739,-78.8957,1.08742,0.73777,0.0986588
3.14667,1117.32,140.946,759.362,-0.457725,426.56,-78.6805,1.08748,0.739079,0.0988492
3.15333,1116.6,140.966,758.609,0.307403,420.056,-78.4322,1.08677,0.738346,0.0973419
3.16,1117.97,141.254,759.621,0.741848,418.44,-77.4811,1.08811,0.739331,0.0969675
3.16667,1117.06,141.241,760.071,0.445755,420.04,-77.8167,1.08722,0.739769,0.0973382
3.17333,1115.94,140.823,758.498,1.51607,418.109,-79.5143,1.08613,0.738238,0.0968907
3.18,1114.85,140.997,756.931,1.20384,419.369,-78.924,1.08508,0.736713,0.0971826
3.18667,1113.44,140.778,757.323,2.1952,423.755,-79.4915,1.0837,0.737094,0.0981991
3.19333,1111.39,140.681,755.246,2.02077,421.79,-80.8664,1.0817,0.735073,0.0977437
3.2,1109.46,140.24,752.988,1.68365,422.44,-80.3754,1.07982,0.732875,0.0978945
3.20667,1106.38,140.331,752.502,1.94462,424.075,-78.8267,1.07683,0.732402,0.0982733
3.21333,1104.32,139.76,750.628,2.30649,419.621,-80.9155,1.07483,0.730578,0.0972411
3.22,1103.84,139.6,749.333,2.23714,417.396,-80.5863,1.07435,0.729317,0.0967254
3.22667,1101.95,139.648,749.836,2.79703,419.168,-78.8898,1.07252,0.729807,0.097136
3.23333,1101.58,139.698,748.91,1.76976,416.167,-79.459,1.07216,0.728906,0.0964407
3.24,1102.23,139.453,747.342,1.7041,418.483,-79.2323,1.07279,0.72738,0.0969773
3.24667,1100.77,139.436,747.147,2.03698,425.617,-78.8205,1.07137,0.72719,0.0986305
3.25333,1100.02,138.829,744.667,1.11286,428.117,-81.5278,1.07064,0.724776,0.0992098
3.26,1098.6,138.457,741.651,2.11103,431.038,-82.4688,1.06926,0.721841,0.0998869
3.26667,1094.24,137.979,740.377,2.89034,435.242,-81.871,1.06501,0.720601,0.100861
3.27333,1092.13,137.304,738.487,2.21678,432.169,-83.2185,1.06295,0.718761,0.100149
3.28,1091.73,137.126,735.837,2.8129,430.552,-83.3799,1.06257,0.716182,0.0997742
3.28667,1088.94,137.031,737.019,3.0493,430.152,-81.4326,1.05985,0.717332,0.0996816
3.29333,1087.19,136.545,735.703,2.82911,425.031,-81.2127,1.05815,0.716051,0.0984949
3.3,1087.89,136.911,734.538,2.51619,421.293,-82.2211,1.05883,0.714918,0.0976284
3.30667,1086.19,136.324,736.146,2.83061,423.718,-80.4903,1.05718,0.716483,0.0981906
3.31333,1085.81,136.18,735.521,3.43719,420.923,-81.4882,1.05681,0.715874,0.0975428
3.32,1087.8,136.582,734.722,2.53888,418.261,-81.834,1.05875,0.715097,0.0969258
3.32667,1085.9,135.662,735.729,3.06421,419.531,-79.4432,1.0569,0.716078,0.0972202
3.33333,1085.39,135.621,735.277,1.95385,414.523,-79.2668,1.0564,0.715637,0.0960597
3.34,1087.93,136.204,734.088,0.797389,413.432,-78.9504,1.05887,0.71448,0.0958068
3.34667,1088.52,135.779,735.59,1.47411,418.236,-77.2579,1.05944,0.715942,0.09692
3.35333,1088.74,135.305,734.43,0.619998,419.013,-77.8597,1.05966,0.714813,0.0971002
3.36,1090.35,135.935,732.397,-0.83214,419.486,-77.5723,1.06123,0.712834,0.0972097
3.36667,1089.39,135.489,733.12,-1.24702,424.568,-76.0311,1.0603,0.713537,0.0983876
3.37333,1087.72,134.603,731.759,-0.682012,423.442,-76.6194,1.05867,0.712213,0.0981266
3.38,1088.22,135.268,729.275,-2.70573,423.089,-75.6272,1.05916,0.709796,0.0980448
3.38667,1085.56,134.334,729.561,-2.60327,426.392,-74.8776,1.05657,0.710074,0.0988102
3.39333,1082.04,133.337,726.889,-1.72924,424.558,-75.2215,1.05314,0.707473,0.0983852
3.4,1081.07,133.494,723.832,-2.48495,425.36,-76.3621,1.05219,0.704498,0.0985711
3.40667,1078.85,132.86,724.405,-0.716631,430.458,-77.4657,1.05004,0.705056,0.0997525
3.41333,1075.96,131.82,722.758,0.390302,427.8,-78.3722,1.04722,0.703453,0.0991363
3.42,1074.98,132.628,720.711,-0.136191,424.532,-78.4986,1.04627,0.701461,0.0983792
3.42667,1073.98,132.714,722.843,0.709956,425.085,-77.4004,1.04529,0.703536,0.0985072
3.43333,1072.89,131.867,722.905,0.324621,421.055,-77.2301,1.04423,0.703596,0.0975733
3.44,1074.68,133.159,722.91,-2.05652,417.86,-75.4643,1.04598,0.7036,0.0968329
3.44667,1075.85,133.919,726.121,-2.3665,419.746,-73.1831,1.04711,0.706725,0.0972701
3.45333,1076.06,132.735,726.524,-2.70681,417.812,-73.3418,1.04732,0.707118,0.0968218
3.46,1078.27,133.612,726.351,-4.43022,417.023,-73.6279,1.04946,0.70695,0.0966391
3.46667,1077.82,134.064,728.139,-3.43719,422.488,-72.4391,1.04903,0.70869,0.0979054
3.47333,1077.26,132.749,727.313,-2.62716,423.205,-74.4357,1.04848,0.707886,0.0980715
3.48,1077.42,133.289,725.538,-4.28355,422.306,-74.9257,1.04865,0.706159,0.0978633
3.48667,1076.38,133.396,727.84,-2.99064,424.131,-74.5396,1.04763,0.708398,0.0982863
3.49333,1074.89,132.169,726.259,-1.59488,421.68,-75.0868,1.04618,0.70686,0.0977183
3.5,1075.62,132.568,724.905,-3.92894,417.524,-75.4731,1.04689,0.705542,0.0967552
3.50667,1075.03,132.673,727.598,-2.47059,420.133,-74.7736,1.04632,0.708164,0.0973597
3.51333,1074.37,131.718,725.812,-0.244655,419.363,-76.3146,1.04568,0.706425,0.0971814
3.52,1075.36,132.4,724.05,-3.14862,417.357,-75.9997,1.04663,0.70471,0.0967164
3.52667,1074.4,132.117,726.511,-0.957452,420.482,-76.3594,1.0457,0.707105,0.0974405
3.53333,1073.7,131.09,724.372,0.796801,420.401,-77.9048,1.04502,0.705023,0.0974218
3.54,1073.12,131.55,721.655,-2.53413,416.818,-77.6582,1.04445,0.702379,0.0965914
3.54667,1070.99,131.661,722.969,-1.25643,419.322,-76.081,1.04238,0.703657,0.0971718
3.55333,1069.39,130.881,721.605,0.844143,417.664,-77.0243,1.04083,0.70233,0.0967876
3.56,1068.86,131.35,718.016,-2.97771,412.243,-76.6416,1.04031,0.698838,0.0955314
3.56667,1067.69,130.936,720.552,-1.79928,413.083,-75.0989,1.03917,0.701305,0.0957259
3.57333,1067.37,130.937,719.903,0.91309,413.549,-76.0762,1.03886,0.700674,0.0958341
3.58,1067.56,130.976,716.175,-3.23332,410.115,-75.6648,1.03905,0.697046,0.0950382
3.58667,1066.32,130.678,718.532,-1.61692,413.258,-75.4616,1.03784,0.699339,0.0957666
3.59333,1065.26,130.314,717.566,1.61361,415.423,-77.0865,1.0368,0.6984,0.0962682
3.6,1065.78,130.108,713.996,-1.46474,412.8,-77.8211,1.03731,0.694925,0.0956605
3.60667,1064.3,129.698,715.987,-0.6653,415.626,-77.1707,1.03588,0.696862,0.0963154
3.61333,1062.66,129.139,715.205,2.12933,417.142,-79.2805,1.03428,0.696101,0.0966666
3.62,1061.81,128.927,711.176,-0.433132,414.376,-80.3714,1.03345,0.69218,0.0960257
3.62667,1060.14,128.933,712.696,0.180403,416.856,-78.7492,1.03183,0.69366,0.0966003
3.63333,1059.08,128.438,713.187,2.93226,416.922,-81.0642,1.03079,0.694137,0.0966155
3.64,1058.88,128.844,709.952,0.435095,413.779,-80.931,1.0306,0.690988,0.0958874
3.64667,1057.86,128.921,711.743,0.604972,415.403,-78.3746,1.02961,0.692732,0.0962636
3.65333,1057.08,128.138,712.249,2.80193,416.443,-80.2702,1.02884,0.693224,0.0965047
3.66,1056.23,128.837,708.568,0.523766,413.764,-80.5598,1.02801,0.689642,0.0958838
3.66667,1055.22,129.074,710.066,-0.0899238,416.727,-77.3433,1.02703,0.6911,0.0965703
3.67333,1053.98,128.625,710.361,1.86808,418.162,-79.3148,1.02583,0.691387,0.0969029
3.68,1052.9,128.997,706.108,-0.797245,418.078,-80.2708,1.02478,0.687248,0.0968835
3.68667,1051.81,129.072,706.336,-0.873899,422.228,-76.9028,1.02371,0.68747,0.0978452
3.69333,1049.85,128.453,706.805,0.541513,423.568,-78.5384,1.02181,0.687926,0.0981557
3.7,1047.53,129.068,701.937,-1.85016,421.203,-79.8356,1.01955,0.683187,0.0976077
3.70667,1047.04,129.106,702.388,-0.909691,423.374,-75.9062,1.01908,0.683626,0.0981107
3.71333,1047.16,128.805,704.635,0.313307,422.656,-78.7031,1.01919,0.685814,0.0979444
3.72,1046.23,128.837,702.067,-0.299393,417.276,-80.2939,1.01829,0.683314,0.0966977
3.72667,1047.07,129.348,703.833,1.3349,417.704,-77.3196,1.0191,0.685033,0.0967968
3.73333,1049.01,128.827,707.6,3.49238,415.995,-80.9609,1.02099,0.6887,0.0964009
3.74,1048.51,128.479,705.479,1.86391,410.736,-83.0387,1.02051,0.686635,0.095182
3.74667,1049.2,129.667,706.571,2.47312,412.8,-78.2764,1.02118,0.687697,0.0956604
3.75333,1050.25,128.806,708.7,3.23428,414.501,-81.012,1.0222,0.68977,0.0960547
3.76,1049.34,128.79,706.108,0.991827,412.543,-82.4546,1.02132,0.687247,0.0956009
3.76667,1048.76,129.556,704.605,1.60616,417.684,-78.2659,1.02075,0.685784,0.0967922
3.77333,1049.05,129.022,705.692,1.52876,423.493,-78.8004,1.02103,0.686843,0.0981385
3.78,1046.4,128.859,701.57,-1.02355,423.269,-80.9328,1.01845,0.68283,0.0980865
3.78667,1045.34,129.39,700.48,-0.314792,426.077,-77.8133,1.01742,0.681769,0.0987371
3.79333,1045.32,128.833,701.614,1.19192,427.773,-78.5708,1.0174,0.682873,0.0991303
3.8,1043.4,128.549,699.713,-1.23649,421.515,-79.9637,1.01553,0.681023,0.09768
3.80667,1043.98,129.169,699.723,-0.470554,419.851,-76.7696,1.0161,0.681033,0.0972944
3.81333,1045.94,129.015,701.932,1.20463,421.015,-76.9112,1.018,0.683183,0.0975642
3.82,1045.18,128.449,700.947,-1.82643,417.419,-78.649,1.01726,0.682224,0.0967308
3.82667,1045.73,129.596,699.943,-1.44715,420.292,-76.8385,1.0178,0.681247,0.0973965
3.83333,1047.11,129.34,701.462,-0.222643,425.436,-76.5062,1.01914,0.682726,0.0985887
3.84,1044.21,128.782,698.987,-3.23675,424.938,-78.4296,1.01632,0.680317,0.0984731
3.84667,1042.71,129.376,696.282,-3.24977,426.361,-75.5143,1.01486,0.677684,0.0988029
3.85333,1042.86,129.283,697.011,-2.23021,430.737,-74.8535,1.01501,0.678393,0.099817
3.86,1040.06,128.467,695.234,-4.55836,428.126,-76.6821,1.01228,0.676664,0.099212
3.86667,1039.02,129.123,692.933,-4.77362,427.772,-74.1832,1.01126,0.674424,0.0991301
3.87333,1040.33,128.765,694.854,-2.58339,430.29,-74.0285,1.01254,0.676294,0.0997134
3.88,1037.84,128.142,693.581,-4.73606,427.06,-76.2611,1.01011,0.675054,0.0989649
3.88667,1037.68,128.584,692.407,-4.7727,426.056,-74.6043,1.00997,0.673912,0.0987322
3.89333,1039.56,128.328,694.496,-1.942,428.823,-74.504,1.0118,0.675945,0.0993735
3.9,1038.2,128.141,693.643,-3.50181,428.065,-76.9024,1.01047,0.675115,0.0991979
3.90667,1037.69,128.375,691.76,-4.10372,429.045,-76.2217,1.00997,0.673282,0.0994249
3.91333,1038.79,127.994,692.917,-1.68791,433.972,-76.4997,1.01104,0.674408,0.100567
3.92,1036.84,127.387,691.501,-2.32887,433.769,-78.3782,1.00914,0.67303,0.10052
3.92667,1035.86,127.531,689.439,-3.04997,433.594,-78.4479,1.00819,0.671023,0.100479
3.93333,1035.64,126.956,690.174,-1.20748,437.551,-78.2838,1.00798,0.671739,0.101396
3.94,1033.17,126.78,688.57,-1.40882,436.108,-79.6935,1.00558,0.670178,0.101062
3.94667,1031.88,127.016,686.813,-2.88764,434.713,-79.0187,1.00432,0.668467,0.100738
3.95333,1032.15,126.765,687.644,-1.56326,437.128,-78.0441,1.00458,0.669276,0.101298
3.96,1030.66,126.629,687.294,-2.00738,436.059,-78.2223,1.00313,0.668936,0.10105
3.96667,1029.45,127.427,685.447,-4.03369,434.374,-77.5071,1.00196,0.667138,0.10066
3.97333,1030.36,126.8,687.133,-2.98607,436.897,-76.0804,1.00284,0.668779,0.101245
3.98,1029.25,126.915,687.225,-2.27821,434.491,-76.3903,1.00176,0.668869,0.100687
3.98667,1029.36,127.643,686.113,-4.66506,432.624,-75.8678,1.00186,0.667787,0.100254
3.99333,1030.55,126.875,688.037,-3.08405,434.004,-75.6484,1.00303,0.669659,0.100574
4,1029.8,126.571,688.566,-1.42911,432.344,-76.5309,1.0023,0.670174,0.10019
4.00667,1029.79,127.538,686.948,-3.89625,431.171,-77.2093,1.00229,0.668599,0.0999176
4.01333,1030.89,126.628,688.866,-2.51774,432.273,-76.6971,1.00335,0.670466,0.100173
4.02,1029.82,126.14,689.077,-0.736876,430.551,-76.6527,1.00231,0.670671,0.099774
4.02667,1029.49,127.573,687.442,-3.38566,428.716,-77.3724,1.00199,0.66908,0.0993486
4.03333,1030.06,126.836,688.921,-2.80949,431.214,-76.5268,1.00255,0.670519,0.0999276
4.04,1029.36,126.214,689.202,-0.670441,429.73,-75.4949,1.00187,0.670792,0.0995836
4.04667,1028.6,127.685,687.226,-3.51111,427.232,-75.9318,1.00112,0.66887,0.0990048
4.05333,1028.67,127.028,689.278,-3.56978,428.106,-75.5458,1.0012,0.670866,0.0992075
4.06,1028.12,126.405,689.559,-0.93615,426.06,-74.2631,1.00066,0.671141,0.0987332
4.06667,1027.3,127.593,687.468,-3.06227,422.139,-75.4052,0.999864,0.669105,0.0978246
4.07333,1027.75,127.146,689.185,-3.4717,425.251,-75.2001,1.00029,0.670776,0.0985457
4.08,1026.9,126.186,688.677,-0.482955,424.297,-74.4078,0.999472,0.670282,0.0983247
4.08667,1026.58,127.512,687.142,-2.1288,422.424,-75.9041,0.999162,0.668788,0.0978907
4.09333,1026.84,127.147,688.328,-3.19282,424.253,-75.4092,0.999414,0.669942,0.0983146
4.1,1026.66,126.228,688.888,0.573492,422.848,-74.9357,0.999241,0.670487,0.0979889
4.10667,1026.66,127.057,686.867,-1.66937,420.113,-76.0747,0.999236,0.668521,0.0973551
4.11333,1026.97,127.307,689.188,-2.42509,421.69,-77.1406,0.999541,0.670779,0.0977204
4.12,1027.06,125.916,689.297,1.72339,419.879,-76.1562,0.999628,0.670885,0.0973009
4.12667,1026.6,127.114,686.945,0.45382,417.1,-77.9868,0.999183,0.668596,0.0966569
4.13333,1026.96,127.421,688.882,-1.19562,419.215,-78.2475,0.999532,0.670481,0.0971469
4.14,1026.6,125.381,688.101,3.07023,419.983,-77.7042,0.999183,0.669721,0.0973249
4.14667,1026.06,126.783,685.462,1.59461,418.455,-78.9156,0.998648,0.667152,0.0969708
4.15333,1025.4,126.465,686.6,0.122485,421.929,-80.0523,0.998012,0.66826,0.0977758
4.16,1023.8,124.573,685.429,3.8765,422.137,-79.7545,0.996449,0.66712,0.0978242
4.16667,1022.23,126.049,682.215,3.39135,419.4,-81.1485,0.994923,0.663992,0.09719
4.17333,1020.63,125.702,683,1.05037,420.714,-81.8457,0.993368,0.664756,0.0974943
4.18,1019.68,124.335,682.417,5.10194,418.786,-80.6009,0.992448,0.664189,0.0970477
4.18667,1018.11,125.33,679.819,4.70389,413.505,-82.0464,0.990917,0.661661,0.0958238
4.19333,1017.47,125.48,681.507,2.44174,414.242,-82.4548,0.990296,0.663303,0.0959945
4.2,1017.89,124.283,682.328,6.71565,412.456,-81.0432,0.990703,0.664102,0.0955806
4.20667,1017.03,125.236,680.563,5.64383,405.883,-81.9191,0.989865,0.662384,0.0940575
4.21333,1016.9,125.731,682.168,3.80213,407.732,-82.3124,0.98974,0.663947,0.094486
4.22,1018.56,124.28,683.006,6.93095,407.745,-81.4503,0.991353,0.664762,0.094489
4.22667,1017.69,124.91,680.696,6.20303,404.784,-82.5773,0.990508,0.662514,0.0938029
4.23333,1017.96,125.455,682.277,4.1276,408.309,-82.9609,0.990769,0.664053,0.0946198
4.24,1019,123.614,682.304,6.76723,409.426,-82.7165,0.991785,0.664079,0.0948784
4.24667,1017.46,124.069,680.469,7.28847,405.739,-84.1549,0.990278,0.662293,0.0940242
4.25333,1016.39,124.408,680.841,5.71235,406.573,-85.1966,0.989244,0.662655,0.0942173
4.26,1017.54,122.895,681.513,8.87934,407.581,-84.7306,0.990358,0.663309,0.094451
4.26667,1015.86,123.052,679.396,8.91759,403.946,-85.8336,0.988725,0.661249,0.0936087
4.27333,1015.02,123.784,679.805,6.43707,405.48,-86.6016,0.987908,0.661647,0.0939641
4.28,1016.36,122.57,680.906,9.76436,406.271,-85.0788,0.989208,0.662718,0.0941474
4.28667,1014.38,122.543,678.137,10.074,402.285,-87.2672,0.987281,0.660023,0.0932237
4.29333,1013.2,123.043,678.413,7.80866,402.707,-87.611,0.986133,0.660292,0.0933214
4.3,1014.76,122.191,679.607,10.6618,403.949,-86.6973,0.987657,0.661454,0.0936094
4.30667,1012.78,121.981,677.595,10.6229,399.177,-88.3641,0.985729,0.659496,0.0925034
4.31333,1012.33,122.362,677.59,9.62923,401.216,-89.4868,0.985291,0.659491,0.092976
4.32,1013.93,121.729,678.537,11.4239,404.749,-88.0378,0.986852,0.660413,0.0937947
4.32667,1012.05,121.645,676.063,11.2396,401.086,-89.2305,0.985021,0.658005,0.092946
4.33333,1011.3,122.566,676.504,9.69555,403.09,-89.2918,0.984289,0.658434,0.0934102
4.34,1011.55,121.796,676.49,11.6227,405.822,-88.6727,0.98453,0.658421,0.0940433
4.34667,1009.13,121.345,674.128,11.3724,400.694,-89.382,0.982174,0.656122,0.092855
4.35333,1008.6,122.287,674.674,10.6056,400.092,-90.2431,0.981657,0.656652,0.0927154
4.36,1010.46,121.82,676.521,12.2453,401.47,-89.6037,0.98347,0.65845,0.0930348
4.36667,1008.86,121.483,674.152,13.0045,397.349,-90.6019,0.981912,0.656145,0.0920799
4.37333,1007.53,122.065,673.856,11.5702,396.99,-91.0955,0.980614,0.655857,0.0919968
4.38,1009.41,122.025,675.535,12.6084,400.454,-90.1354,0.982448,0.657491,0.0927994
