t_s,Fx_N,Fy_N,Fz_N,Mx_Nm,My_Nm,Mz_Nm,Cd,Cl,Cm
3,1161.28,-844.151,-1419.59,13.1928,-703.411,381.896,1.13026,-1.38167,-0.163005
3.00667,1159.24,-843.847,-1419.08,9.79629,-707.614,379.517,1.12828,-1.38117,-0.163979
3.01333,1159.53,-845.112,-1420.12,8.27254,-711.916,374.381,1.12856,-1.38219,-0.164976
3.02,1160.23,-846.447,-1419.96,4.66621,-713.911,376.207,1.12923,-1.38203,-0.165438
3.02667,1159.46,-845.813,-1421.8,1.60644,-716.727,374.95,1.12849,-1.38382,-0.166091
3.03333,1162.79,-847.195,-1425.86,-0.115339,-716.791,369.648,1.13173,-1.38777,-0.166106
3.04,1165.05,-848.764,-1427.77,-0.620658,-713.951,372.683,1.13393,-1.38963,-0.165448
3.04667,1165.57,-847.694,-1429.17,0.687273,-710.222,373.533,1.13444,-1.391,-0.164584
3.05333,1166.85,-846.781,-1429.28,4.31792,-707.998,372.99,1.13569,-1.39111,-0.164068
3.06,1165.96,-846.646,-1428.23,7.96533,-707.69,379.524,1.13481,-1.39009,-0.163997
3.06667,1163.13,-845.566,-1426.98,9.34218,-710.543,384.105,1.13206,-1.38887,-0.164658
3.07333,1162.86,-845.269,-1425.54,11.4431,-710.75,380.969,1.1318,-1.38746,-0.164706
3.08,1163.41,-845.942,-1424.38,12.584,-708.716,382.822,1.13233,-1.38633,-0.164235
3.08667,1162.65,-846.282,-1425.81,13.1612,-706.759,382.849,1.13159,-1.38772,-0.163781
3.09333,1163.93,-846.834,-1424.99,16.4536,-703.579,378.669,1.13284,-1.38693,-0.163044
3.1,1165.63,-848.597,-1425.15,17.7833,-700.324,380.32,1.1345,-1.38708,-0.16229
3.10667,1165.09,-847.79,-1426.07,16.535,-700.2,380.909,1.13397,-1.38798,-0.162261
3.11333,1165.15,-846.919,-1426.12,15.4861,-700.784,377.274,1.13402,-1.38803,-0.162397
3.12,1165.42,-846.854,-1425.45,12.2229,-702.579,377.958,1.13429,-1.38738,-0.162812
3.12667,1163.58,-846.752,-1426.48,7.77468,-707.88,379.614,1.1325,-1.38838,-0.164041
3.13333,1163.28,-845.607,-1426.35,6.31816,-710.848,375.986,1.13221,-1.38825,-0.164729
3.14,1163.84,-845.076,-1425.97,3.29578,-711.821,376.65,1.13275,-1.38788,-0.164954
3.14667,1161.71,-843.789,-1426.23,-1.28641,-716.371,378.266,1.13068,-1.38813,-0.166009
3.15333,1159.8,-841.078,-1424.23,-4.79093,-720.371,375.254,1.12882,-1.38619,-0.166936
3.16,1159.08,-840.794,-1421.22,-7.04954,-722.454,375.142,1.12812,-1.38326,-0.167418
3.16667,1156.9,-840.263,-1420.66,-7.51481,-724.914,378.043,1.126,-1.38271,-0.167988
3.17333,1156.45,-838.561,-1419.57,-4.21687,-724.004,377.043,1.12556,-1.38165,-0.167778
3.18,1158.27,-840.985,-1417.72,0.921007,-719.703,377.044,1.12733,-1.37985,-0.166781
3.18667,1158.88,-843.842,-1418.94,4.81486,-718.599,379.828,1.12793,-1.38104,-0.166525
3.19333,1160.51,-843.044,-1419.26,7.23744,-715.159,376.849,1.12951,-1.38135,-0.165728
3.2,1164.19,-845.923,-1420.12,6.95649,-710.243,371.786,1.1331,-1.38219,-0.164589
3.20667,1165.74,-848.199,-1424.09,3.71458,-709.283,370.698,1.1346,-1.38605,-0.164366
3.21333,1168.39,-847.292,-1426.68,-0.121764,-708.075,365.081,1.13718,-1.38857,-0.164086
3.22,1171.39,-849.337,-1428.21,-2.29688,-707.452,361.817,1.1401,-1.39006,-0.163942
3.22667,1171.94,-851.106,-1432.13,-4.63681,-709.933,364.193,1.14064,-1.39388,-0.164517
3.23333,1171.85,-849.289,-1433.29,-6.89386,-712.751,363.874,1.14055,-1.39501,-0.16517
3.24,1171.88,-849.287,-1432.54,-5.80378,-713.738,363.222,1.14057,-1.39428,-0.165398
3.24667,1170.39,-850.196,-1433.42,-5.78593,-717.186,367.564,1.13913,-1.39513,-0.166197
3.25333,1167.59,-846.861,-1431.79,-6.05294,-719.77,369.509,1.1364,-1.39355,-0.166796
3.26,1166.15,-845.556,-1428.09,-3.54424,-718.294,369.955,1.13501,-1.38994,-0.166454
3.26667,1164.57,-845.826,-1427.42,-1.51203,-718.523,374.448,1.13346,-1.3893,-0.166507
3.27333,1163.68,-843.731,-1426.18,0.345914,-717.151,374.774,1.1326,-1.38808,-0.166189
3.28,1166.12,-845.717,-1425.83,5.01883,-708.173,371.416,1.13497,-1.38775,-0.164109
3.28667,1169.25,-850.852,-1429.33,9.2867,-702.146,371.058,1.13802,-1.39115,-0.162712
3.29333,1172.07,-851.663,-1431.76,10.3651,-697.311,371.315,1.14076,-1.39352,-0.161592
3.3,1173.39,-852.449,-1431.58,12.1782,-693.968,368.931,1.14205,-1.39334,-0.160817
3.30667,1171.75,-853.864,-1431.06,14.6216,-697.841,373.671,1.14045,-1.39283,-0.161715
3.31333,1168.21,-850.836,-1428.12,14.4238,-705.446,378.888,1.13701,-1.38998,-0.163477
