t_s,Fx_N,Fy_N,Fz_N,Mx_Nm,My_Nm,Mz_Nm,Cd,Cl,Cm
3,103.174,-181.326,-318.424,-3.73202,-31.7695,15.5699,0.100418,-0.309918,-0.00736212
3.00667,100.2,-173.949,-323.291,-7.55549,-29.6698,14.2915,0.0975236,-0.314656,-0.00687555
3.01333,105.923,-180.062,-323.016,-8.04923,-23.6816,20.1631,0.103094,-0.314388,-0.00548786
3.02,103.786,-181.492,-318.597,-4.61451,-31.0306,16.2206,0.101014,-0.310087,-0.0071909
3.02667,99.8881,-174.114,-321.922,-6.42059,-30.3225,14.2959,0.09722,-0.313323,-0.00702679
3.03333,105.334,-179.273,-323.263,-7.89664,-23.3458,19.8481,0.102521,-0.314628,-0.00541004
3.04,104.352,-181.723,-318.489,-5.30761,-29.9312,17.061,0.101565,-0.309982,-0.00693612
3.04667,99.6417,-174.726,-321.631,-6.08229,-31.6619,14.3359,0.0969802,-0.31304,-0.00733719
3.05333,104.978,-178.441,-323.029,-8.20053,-23.6974,19.4625,0.102174,-0.3144,-0.00549152
3.06,104.887,-181.986,-318.885,-5.37769,-29.279,18.0616,0.102085,-0.310367,-0.00678498
3.06667,99.5792,-175.052,-320.922,-5.4792,-32.1471,14.3057,0.0969194,-0.31235,-0.00744962
3.07333,104.375,-177.527,-322.474,-7.5354,-23.7136,18.5461,0.101587,-0.31386,-0.00549528
3.08,105,-181.564,-318.854,-6.1723,-28.2332,18.7135,0.102195,-0.310337,-0.00654264
3.08667,99.4477,-175.796,-320.229,-5.30898,-33.2308,14.0519,0.0967914,-0.311675,-0.00770075
3.09333,103.705,-177.338,-322.693,-7.23704,-23.8519,18.0205,0.100934,-0.314073,-0.00552733
3.1,105.142,-181.467,-319.095,-6.78641,-27.1045,18.7697,0.102333,-0.310571,-0.00628109
3.10667,99.8035,-176.305,-319.718,-4.66149,-33.5315,14.3566,0.0971376,-0.311178,-0.00777043
3.11333,103.191,-176.657,-321.925,-7.32788,-24.3166,16.7564,0.100434,-0.313326,-0.00563501
3.12,105.724,-181.518,-319.914,-7.49027,-26.043,19.5506,0.1029,-0.311369,-0.00603508
3.12667,99.6181,-176.929,-319.818,-4.69349,-33.9179,15.1913,0.0969572,-0.311276,-0.00785998
3.13333,102.367,-176.557,-321.641,-7.25326,-25.3678,16.4074,0.0996328,-0.31305,-0.00587862
3.14,105.732,-181.053,-319.863,-7.61621,-24.9375,19.8163,0.102908,-0.311319,-0.00577889
3.14667,99.8673,-177.744,-319.67,-4.05225,-34.914,15.684,0.0971998,-0.311132,-0.00809082
3.15333,101.837,-176.451,-321.566,-6.47238,-26.4201,15.4874,0.0991165,-0.312976,-0.00612247
3.16,105.794,-180.367,-319.766,-8.02431,-23.8295,19.9374,0.102969,-0.311225,-0.00552214
3.16667,100.449,-178.546,-319.259,-4.00969,-34.2103,15.9008,0.0977663,-0.310731,-0.00792774
3.17333,101.339,-175.919,-320.777,-6.6474,-26.7912,14.4452,0.0986324,-0.312208,-0.00620848
3.18,105.955,-179.953,-319.675,-7.70347,-22.7842,20.1151,0.103125,-0.311137,-0.0052799
3.18667,100.706,-178.914,-318.892,-3.87439,-34.1736,16.7293,0.0980156,-0.310374,-0.00791924
3.19333,100.758,-176.199,-320.803,-6.35303,-28.305,14.0457,0.0980671,-0.312234,-0.00655927
3.2,105.755,-179.385,-319.994,-8.02612,-22.543,19.7621,0.102931,-0.311447,-0.00522401
3.20667,101.016,-179.275,-318.323,-3.66615,-34.2281,17.7143,0.0983174,-0.30982,-0.00793187
3.21333,100.118,-176.131,-320.267,-6.36529,-29.8937,13.9569,0.0974442,-0.311712,-0.00692743
3.22,105.517,-178.452,-319.722,-8.47447,-21.3401,19.6631,0.102698,-0.311181,-0.00494526
3.22667,101.718,-179.419,-318.248,-3.85529,-33.579,18.8051,0.0990008,-0.309748,-0.00778145
3.23333,99.5515,-176.434,-319.582,-5.93308,-31.4311,13.5044,0.0968923,-0.311046,-0.0072837
3.24,105.252,-177.599,-319.436,-8.00361,-20.8062,19.6115,0.102441,-0.310903,-0.00482154
3.24667,102.263,-179.445,-317.882,-3.93425,-32.8265,19.5745,0.0995311,-0.309391,-0.00760707
3.25333,99.5725,-176.866,-319.256,-5.85735,-32.6711,13.0529,0.0969129,-0.310728,-0.00757105
3.26,104.752,-176.893,-318.967,-8.10289,-20.1501,18.7421,0.101954,-0.310447,-0.00466949
3.26667,102.612,-179.673,-317.976,-4.32461,-31.3512,19.8678,0.0998709,-0.309482,-0.0072652
3.27333,99.184,-177.633,-319.304,-5.6182,-33.3464,12.9578,0.0965347,-0.310775,-0.00772754
3.28,104.459,-176.317,-319.404,-7.96012,-19.7917,18.1212,0.101668,-0.310873,-0.00458644
3.28667,103.105,-179.601,-317.747,-4.66503,-30.7591,21.0399,0.100351,-0.309259,-0.00712798
3.29333,99.2008,-178.771,-319.401,-5.60176,-34.6451,12.4015,0.096551,-0.310869,-0.00802849
3.3,103.932,-175.877,-319.228,-8.27951,-19.5203,17.1501,0.101156,-0.310701,-0.00452355
3.30667,103.653,-179.431,-317.859,-4.42171,-29.5477,21.4498,0.100884,-0.309369,-0.00684725
3.31333,99.1486,-179.414,-319.207,-5.4508,-35.8402,12.8395,0.0965003,-0.310681,-0.00830545
3.32,103.067,-175.445,-318.813,-8.17572,-20.0036,16.2956,0.100314,-0.310297,-0.00463553
3.32667,103.836,-179.083,-317.989,-4.686,-27.9344,21.8904,0.101062,-0.309495,-0.00647339
3.33333,99.1683,-180.036,-318.757,-5.44149,-36.9322,13.2584,0.0965195,-0.310243,-0.00855851
3.34,102.557,-174.948,-318.423,-8.03537,-20.3204,15.6585,0.0998179,-0.309917,-0.00470896
3.34667,104.3,-178.606,-317.977,-4.4312,-26.4165,22.984,0.101514,-0.309483,-0.00612164
3.35333,99.3198,-180.779,-318.49,-5.60656,-37.842,13.397,0.0966669,-0.309983,-0.00876933
3.36,101.994,-174.65,-317.673,-7.47573,-20.8786,14.5619,0.0992693,-0.309188,-0.00483832
3.36667,104.238,-177.623,-317.494,-4.42145,-24.7478,22.7818,0.101453,-0.309013,-0.00573493
3.37333,99.5538,-181.282,-318.311,-5.81096,-38.4383,14.0867,0.0968946,-0.309809,-0.00890752
3.38,101.231,-174.478,-317.712,-7.37837,-22.0139,13.4773,0.098527,-0.309226,-0.0051014
3.38667,104.642,-176.823,-317.37,-4.13889,-23.287,23.1025,0.101847,-0.308893,-0.00539643
3.39333,99.956,-182.427,-318.755,-6.07431,-39.1167,14.7289,0.0972861,-0.310241,-0.00906472
3.4,100.752,-174.339,-316.795,-6.96222,-22.6513,13.0378,0.0980612,-0.308333,-0.00524912
3.40667,104.511,-176.228,-317.435,-3.94148,-21.3456,23.1613,0.10172,-0.308956,-0.00494654
3.41333,100.277,-183.083,-318.814,-6.1618,-39.5647,15.1931,0.0975986,-0.310298,-0.00916854
3.42,100.065,-174.74,-316.779,-6.40735,-23.9419,12.0645,0.0973922,-0.308317,-0.00554818
3.42667,104.196,-175.198,-317.09,-4.14905,-20.2909,23.3815,0.101413,-0.308621,-0.00470212
