t_s,Fx_N,Fy_N,Fz_N,Mx_Nm,My_Nm,Mz_Nm,Cd,Cl,Cm
3,109.43,161.314,120.75,-5.17549,107.471,-151.929,0.106507,0.117525,0.0249048
3.01,108.654,145.893,113.196,-8.44935,115.833,-146.609,0.105752,0.110172,0.0268426
3.02,102.58,153.825,118.146,-1.49215,106.836,-137.69,0.0998398,0.114991,0.0247577
3.03,109.349,158.81,118.588,-6.44,110.684,-154.083,0.106428,0.115421,0.0256493
3.04,110.247,141.87,109.782,-11.4092,122.214,-154.485,0.107302,0.106849,0.0283214
3.05,102.708,148.395,114.371,-1.8852,111.131,-142.509,0.0999643,0.111316,0.025753
3.06,108.294,154.931,115.112,-7.02701,114.507,-157.618,0.105401,0.112037,0.0265353
3.07,110.577,137.139,105.282,-12.5226,127.61,-161.91,0.107623,0.10247,0.0295717
3.08,103.381,141.675,110.039,-1.60332,116.118,-149.656,0.100619,0.1071,0.0269087
3.09,107.377,150.803,112.69,-4.63011,116.388,-159.409,0.104509,0.10968,0.0269713
3.1,109.817,134.874,102.388,-13.7614,130.289,-165.027,0.106883,0.0996532,0.0301927
3.11,103.633,137.134,107.51,-0.931761,117.846,-153.276,0.100865,0.104639,0.027309
3.12,105.492,150.11,113.603,-0.181513,113.821,-155.856,0.102674,0.110568,0.0263764
3.13,109.586,137.335,104.627,-12.2053,128.925,-162.447,0.106659,0.101832,0.0298766
3.14,103.531,136.95,108.167,-1.13607,117.335,-153.166,0.100766,0.105278,0.0271906
3.15,104.008,152.372,116.989,2.03918,107.815,-150.626,0.10123,0.113864,0.0249845
3.16,109.069,142.635,108.948,-11.5697,123.126,-155.459,0.106156,0.106037,0.0285327
3.17,103.509,139.927,110.364,-0.509478,113.428,-149.14,0.100744,0.107416,0.0262854
3.18,103.727,156.093,120.204,3.21501,102.759,-144.003,0.100957,0.116993,0.023813
3.19,109.093,148.74,112.669,-10.6768,118.635,-149.866,0.106179,0.10966,0.0274918
3.2,104.131,143.759,112.968,-1.4824,110.628,-145.153,0.10135,0.10995,0.0256365
3.21,103.013,158.087,122.601,3.79237,100.286,-139.815,0.100262,0.119326,0.0232399
3.22,108.913,152.157,115.128,-9.36705,115.689,-145.936,0.106004,0.112053,0.0268093
3.23,104.568,145.614,113.901,-2.78907,108.492,-142.302,0.101775,0.110858,0.0251415
3.24,102.024,157.941,123.378,4.28064,98.7712,-137.412,0.0992986,0.120082,0.0228888
3.25,108.419,152.849,115.034,-8.77673,115.188,-144.926,0.105523,0.111961,0.026693
3.26,104.549,146.287,113.184,-4.32276,108.58,-141.182,0.101756,0.110161,0.0251617
3.27,100.936,157.699,123.736,4.81967,97.1661,-132.85,0.09824,0.120431,0.0225168
3.28,107.474,153.754,115.426,-8.38654,114.115,-142.797,0.104603,0.112343,0.0264445
3.29,104.871,147.013,112.47,-6.18397,109.572,-140.201,0.10207,0.109466,0.0253918
3.3,99.5528,157.894,124.11,4.32893,93.9697,-129.356,0.0968937,0.120795,0.0217761
3.31,106.053,155.689,116.498,-8.35756,112.04,-138.964,0.10322,0.113386,0.0259637
3.32,105.999,145.768,110.436,-8.72651,110.379,-141.175,0.103167,0.107487,0.0255788
3.33,99.422,155.892,123.108,3.48511,93.4141,-129.445,0.0967664,0.11982,0.0216474
3.34,105.175,157.234,117.541,-8.29968,108.205,-134.198,0.102366,0.114402,0.025075
3.35,106.871,145.406,109.147,-10.4469,111.272,-141.52,0.104016,0.106231,0.0257858
3.36,99.901,152.466,121.524,3.26963,92.9571,-130.939,0.0972326,0.118278,0.0215415
3.37,105.256,157.133,118.156,-6.95127,106.191,-131.486,0.102445,0.115,0.0246083
3.38,107.219,143.604,107.188,-10.5806,112.071,-143.44,0.104356,0.104325,0.0259707
3.39,101.454,148.347,118.467,3.38311,96.975,-136.794,0.0987438,0.115303,0.0224725
3.4,105.628,154.626,116.727,-5.21902,107.294,-134.221,0.102806,0.113609,0.0248639
3.41,107.896,141.016,104.483,-10.9525,115.588,-147.091,0.105014,0.101692,0.0267858
3.42,101.845,141.334,113.728,2.73628,101.038,-142.769,0.0991248,0.11069,0.023414
3.43,105.01,148.757,112.895,-3.41732,109.968,-138.546,0.102205,0.10988,0.0254835
3.44,107.879,137.554,100.977,-11.3167,118.53,-149.617,0.104998,0.0982802,0.0274675
3.45,101.747,135.832,109.446,1.9744,105.099,-147.421,0.0990297,0.106522,0.0243552
3.46,104.527,143.735,109.69,-2.97291,112.868,-143.769,0.101735,0.10676,0.0261556
3.47,107.258,134.867,98.2031,-11.5158,120.359,-152.317,0.104393,0.09558,0.0278914
3.48,101.477,132.898,106.614,0.348884,106.241,-149.053,0.0987661,0.103766,0.0246197
3.49,103.164,141.549,108.68,-2.25181,112.205,-143.977,0.100409,0.105777,0.026002
3.5,107.147,135.209,97.9592,-11.999,120.892,-152.796,0.104285,0.0953426,0.028015
3.51,101.362,133.061,106.443,-1.393,106.278,-147.818,0.0986542,0.1036,0.0246283
3.52,102.139,143.146,110.289,-2.46034,109.443,-140.354,0.0994108,0.107343,0.0253619
3.53,106.534,139.001,99.5327,-13.0287,116.79,-148.084,0.103688,0.0968741,0.0270643
3.54,101.32,135.852,108.547,-3.50058,102.754,-143.159,0.0986133,0.105647,0.0238118
3.55,101.258,146.432,113.389,-2.40002,104.544,-134.14,0.0985534,0.11036,0.0242266
3.56,105.548,143.227,102.185,-13.8237,112.741,-141.102,0.102729,0.099456,0.0261261
3.57,101.806,138.421,109.947,-6.21527,99.3967,-139.425,0.0990864,0.107011,0.0230337
3.58,100.427,149.441,115.914,-3.67772,100.646,-129.123,0.0977447,0.112818,0.0233231
3.59,105.981,147.359,104.747,-12.8724,108.955,-136.578,0.103151,0.10195,0.0252488
3.6,102.819,139.357,110.223,-6.81593,98.8381,-137.556,0.100072,0.107279,0.0229043
3.61,100.319,149.427,116.506,-3.96051,97.9752,-127.16,0.097639,0.113394,0.0227043
3.62,105.755,147.703,104.796,-12.6967,107.964,-134.799,0.10293,0.101997,0.0250192
3.63,104.149,138.165,109.005,-7.47327,99.2753,-137.928,0.101367,0.106093,0.0230056
3.64,100.623,146.111,115.491,-3.73193,98.6135,-127.78,0.0979349,0.112406,0.0228522
3.65,105.227,146.2,103.44,-12.2775,107.293,-133.585,0.102416,0.100677,0.0248635
3.66,104.422,135.013,105.739,-7.87778,101.054,-139.149,0.101633,0.102915,0.0234179
3.67,100.73,141.944,113.049,-2.8824,99.847,-128.792,0.0980391,0.11003,0.0231381
3.68,104.898,143.573,101.221,-11.0725,107.98,-133.982,0.102096,0.0985176,0.0250228
3.69,105.528,131.151,102.021,-7.51179,104.562,-143.198,0.102709,0.0992955,0.0242306
3.7,101.413,136.532,109.791,-3.13111,103.075,-133.703,0.0987046,0.106858,0.023886
3.71,105.301,139.811,99.0164,-10.4018,110.556,-137.264,0.102489,0.0963716,0.0256198
3.72,106.117,125.787,97.2416,-7.52716,108.07,-148.054,0.103282,0.0946442,0.0250437
3.73,101.993,130.132,105.399,-3.26472,106.764,-138.755,0.0992689,0.102584,0.024741
3.74,104.482,133.698,94.4021,-9.10806,113.655,-140.828,0.101691,0.0918805,0.0263379
3.75,106.559,120.045,92.2372,-6.63114,111.485,-152.426,0.103713,0.0897734,0.025835
3.76,102.095,123.347,100.824,-3.40872,110.434,-143.85,0.099368,0.0981311,0.0255916
3.77,104.101,129.179,90.999,-8.20546,115.774,-144.236,0.10132,0.0885683,0.026829
3.78,106.723,116.99,89.0218,-6.00466,112.899,-155,0.103873,0.0866439,0.0261626
3.79,102.321,119.574,98.6578,-4.12677,111.3,-146.126,0.0995875,0.0960226,0.0257921
3.8,102.375,127.33,89.6824,-8.66998,115.454,-143.298,0.0996405,0.0872869,0.0267549
3.81,106.059,117.193,88.2474,-6.50384,112.197,-153.32,0.103226,0.0858902,0.026
