t_s,Fx_N,Fy_N,Fz_N,Mx_Nm,My_Nm,Mz_Nm,Cd,Cl,Cm
3.58,146.776,-17.6608,-337.21,-8.87606,-52.3644,-22.1732,0.142856,-0.328202,-0.0121347
3.59,115.599,-79.5037,-342.302,-16.0988,-60.1898,15.4514,0.112511,-0.333159,-0.0139481
3.6,93.2327,-18.987,-325.108,-10.5,-30.6448,24.9784,0.0907424,-0.316424,-0.0071015
3.61,141.437,-11.0781,-337.8,-8.76709,-50.6299,-18.4294,0.137659,-0.328777,-0.0117327
3.62,120.315,-77.174,-345.238,-16.8988,-63.6674,8.44154,0.117101,-0.336016,-0.014754
3.63,93.2774,-28.3039,-323.772,-9.58023,-29.1058,27.3826,0.0907859,-0.315123,-0.00674486
3.64,136.069,-4.92558,-336.211,-8.59478,-48.7384,-13.5434,0.132434,-0.32723,-0.0112944
3.65,125.628,-73.3267,-347.714,-18.6684,-66.7761,0.626865,0.122272,-0.338426,-0.0154744
3.66,93.67,-38.0167,-321.895,-8.45793,-28.5642,28.6919,0.091168,-0.313297,-0.00661935
3.67,130.498,-0.67922,-334.055,-8.06577,-45.7411,-7.8822,0.127012,-0.325132,-0.0105998
3.68,129.956,-67.9952,-350.544,-20.9884,-70.535,-5.92874,0.126485,-0.341181,-0.0163455
3.69,95.0721,-47.157,-320.436,-8.17322,-28.5292,30.1838,0.0925327,-0.311877,-0.00661122
3.7,124.261,2.6949,-331.621,-6.6875,-43.2798,-2.01863,0.120942,-0.322763,-0.0100295
3.71,133.791,-60.6945,-352.769,-23.1945,-73.9072,-12.2779,0.130218,-0.343346,-0.0171269
3.72,96.6144,-56.6321,-319.937,-7.74458,-29.1537,30.8085,0.0940337,-0.311391,-0.00675595
3.73,118.408,3.99555,-329.179,-5.28917,-38.9915,4.01921,0.115245,-0.320386,-0.00903572
3.74,137.723,-52.7484,-355.85,-24.4499,-77.5438,-18.6055,0.134044,-0.346345,-0.0179697
3.75,99.2452,-65.6058,-319.893,-7.20236,-30.6269,29.2704,0.0965942,-0.311348,-0.00709735
3.76,112.504,3.90522,-326.72,-3.92662,-34.8486,11.2232,0.109499,-0.317993,-0.00807567
