t_s,Fx_N,Fy_N,Fz_N,Mx_Nm,My_Nm,Mz_Nm,Cd,Cl,Cm
3,1702.01,-247.205,-1342.85,-26.5327,-515.012,56.1761,1.65655,-1.30698,-0.119347
3.00667,1699.34,-247.807,-1343.41,-30.0114,-517.028,52.2445,1.65395,-1.30753,-0.119814
3.01333,1701.44,-246.645,-1342.89,-32.692,-518.941,51.6808,1.65599,-1.30702,-0.120257
3.02,1701.29,-245.669,-1342.36,-31.9349,-521.482,50.2109,1.65585,-1.30651,-0.120846
3.02667,1698.8,-246.733,-1343.29,-33.1581,-521.86,48.9494,1.65342,-1.30741,-0.120934
3.03333,1700.6,-245.479,-1342.47,-34.7399,-523.213,50.6092,1.65518,-1.30661,-0.121247
3.04,1701.14,-244.037,-1342.75,-32.5974,-523.747,50.7122,1.6557,-1.30688,-0.121371
3.04667,1699.35,-245.074,-1344.66,-33.4877,-520.564,50.1147,1.65396,-1.30875,-0.120633
3.05333,1701.06,-244.118,-1344.57,-34.9308,-521.18,52.2776,1.65563,-1.30866,-0.120776
3.06,1701.91,-242.972,-1344.8,-32.3703,-519.186,52.1036,1.65645,-1.30887,-0.120314
3.06667,1700.26,-244.633,-1346.81,-32.5166,-516.392,50.9563,1.65484,-1.31083,-0.119666
3.07333,1702.53,-244.152,-1345.96,-33.5714,-514.759,53.1192,1.65705,-1.31001,-0.119288
3.08,1704.21,-243.119,-1346.26,-30.925,-512.618,53.2663,1.65868,-1.3103,-0.118792
3.08667,1702.72,-244.051,-1347.69,-31.2276,-511.011,52.0075,1.65724,-1.31169,-0.118419
3.09333,1704.42,-244.606,-1347.07,-32.9765,-511.171,55.2255,1.6589,-1.31109,-0.118456
3.1,1705.72,-243.228,-1346.76,-29.6724,-512.005,54.5107,1.66016,-1.31079,-0.11865
3.10667,1703.93,-244.136,-1347.83,-29.0793,-511.608,53.9717,1.65842,-1.31183,-0.118558
3.11333,1705.18,-244.792,-1347.12,-32.3377,-513.714,55.8257,1.65963,-1.31113,-0.119046
3.12,1706.18,-243.088,-1346.09,-29.6967,-514.808,55.8143,1.6606,-1.31014,-0.119299
3.12667,1702.99,-243.772,-1346.43,-29.3735,-515.06,54.3021,1.6575,-1.31047,-0.119358
3.13333,1702.02,-244.877,-1344.81,-32.14,-516.857,57.5525,1.65655,-1.30889,-0.119774
3.14,1701.13,-243.138,-1342.57,-28.735,-517.625,57.3499,1.65569,-1.30671,-0.119952
3.14667,1697.77,-243.932,-1342,-27.3673,-515.685,56.2339,1.65242,-1.30616,-0.119502
3.15333,1696.95,-245.606,-1340.57,-28.9629,-515.904,60.0477,1.65162,-1.30477,-0.119553
3.16,1697.06,-244.273,-1338.16,-26.1165,-515.893,61.0898,1.65173,-1.30241,-0.119551
3.16667,1694.65,-244.448,-1338.93,-23.5108,-513.18,60.3547,1.64938,-1.30317,-0.118922
3.17333,1694.37,-246.021,-1338.06,-25.4763,-511.35,64.6862,1.64911,-1.30232,-0.118498
3.18,1697,-245.471,-1337.45,-23.0136,-509.651,65.8636,1.65167,-1.30173,-0.118104
3.18667,1695.14,-245.501,-1339.34,-20.7507,-504.893,63.2287,1.64986,-1.30356,-0.117002
3.19333,1696.27,-247.345,-1339.86,-23.085,-501.731,67.6005,1.65096,-1.30408,-0.116269
3.2,1700.42,-247.272,-1340.03,-20.5316,-497.648,68.7381,1.655,-1.30424,-0.115323
3.20667,1700.39,-247.168,-1342.23,-16.4246,-491.466,67.0788,1.65497,-1.30638,-0.11389
3.21333,1703.11,-249.667,-1343.56,-17.3524,-486.627,72.03,1.65762,-1.30767,-0.112769
3.22,1707.66,-250.036,-1344.01,-14.299,-482.249,75.2708,1.66204,-1.30811,-0.111754
3.22667,1708.53,-249.685,-1346.79,-10.2276,-475.935,72.3961,1.6629,-1.31082,-0.110291
3.23333,1711.52,-251.998,-1349.01,-10.7174,-472.781,76.9535,1.6658,-1.31297,-0.10956
3.24,1715.42,-252.563,-1349.06,-9.65202,-470.164,79.5272,1.66959,-1.31303,-0.108954
3.24667,1715.29,-251.848,-1351.03,-6.97844,-466.336,75.2672,1.66947,-1.31495,-0.108067
3.25333,1717.16,-253.313,-1352.49,-9.04451,-463.47,76.4773,1.67129,-1.31636,-0.107402
3.26,1720.17,-253.696,-1352.38,-10.0528,-461.224,78.3601,1.67422,-1.31626,-0.106882
3.26667,1718.72,-253.225,-1352.75,-7.84813,-458.969,73.2054,1.67281,-1.31662,-0.106359
3.27333,1718.12,-253.659,-1352.92,-10.0418,-458.723,73.7837,1.67223,-1.31678,-0.106302
3.28,1719.18,-253.488,-1350.88,-10.2725,-459.783,76.6851,1.67326,-1.3148,-0.106548
3.28667,1716.15,-252.679,-1350.32,-8.66071,-460.658,72.8552,1.67031,-1.31425,-0.106751
3.29333,1714.57,-253.068,-1349.79,-10.0652,-461.706,73.6026,1.66878,-1.31373,-0.106994
3.3,1714.67,-253.225,-1346.45,-10.8184,-462.094,77.24,1.66887,-1.31049,-0.107084
3.30667,1710.42,-252.504,-1344.68,-8.38156,-461.836,74.4232,1.66473,-1.30876,-0.107024
3.31333,1706.7,-252.405,-1341.54,-8.43033,-462.691,75.2801,1.66111,-1.30571,-0.107222
3.32,1704.5,-252.688,-1336.53,-8.35993,-464.975,79.1768,1.65897,-1.30083,-0.107751
