t_s,Fx_N,Fy_N,Fz_N,Mx_Nm,My_Nm,Mz_Nm,Cd,Cl,Cm
3,246.871,-621.417,-282.672,31.8186,-112.864,280.797,0.240277,-0.275121,-0.0261546
3.01,244.107,-625.066,-288.058,33.5413,-127.343,280.681,0.237587,-0.280364,-0.0295099
3.02,225.925,-619.184,-279.767,35.0159,-111.516,278.986,0.21989,-0.272295,-0.0258423
3.03,244.546,-620.744,-282.228,31.7234,-110.448,279.101,0.238014,-0.27469,-0.0255946
3.04,245.656,-625.574,-288.132,33.0425,-126.652,278.68,0.239095,-0.280435,-0.0293497
3.05,226.916,-620.885,-281.515,35.1702,-111.258,275.026,0.220855,-0.273995,-0.0257825
3.06,243.936,-623.254,-282.762,31.3983,-107.956,275.657,0.23742,-0.275209,-0.0250172
3.07,247.287,-628.336,-289.185,32.5691,-125.236,275.522,0.240682,-0.281461,-0.0290215
3.08,227.807,-624.06,-283.601,35.5938,-112.06,272.592,0.221722,-0.276026,-0.0259684
3.09,242.442,-624.692,-283.409,31.5562,-106.281,273.432,0.235967,-0.275839,-0.024629
3.1,249.277,-630.187,-290.057,32.2069,-123.536,273.391,0.242618,-0.282309,-0.0286277
3.11,228.362,-625.33,-284.808,34.9812,-112.908,272.279,0.222263,-0.277201,-0.0261649
3.12,240.825,-624.354,-283.085,31.9615,-105.033,273.29,0.234392,-0.275523,-0.0243399
3.13,249.314,-629.465,-289.253,33.0721,-122.58,274.345,0.242655,-0.281527,-0.0284061
3.14,228.362,-624.633,-285.037,36.2368,-115.614,274,0.222262,-0.277424,-0.0267919
3.15,238.286,-621.198,-282.063,32.1426,-105.218,275.788,0.231921,-0.274528,-0.0243828
3.16,249.139,-626.043,-287.578,33.4704,-123.156,278.01,0.242485,-0.279897,-0.0285396
3.17,228.17,-621.914,-283.926,37.6936,-118.46,277.242,0.222075,-0.276342,-0.0274514
3.18,235.316,-617.501,-279.641,33.2109,-106.39,278.445,0.229031,-0.272171,-0.0246543
3.19,248.502,-622.007,-284.9,33.4062,-123.932,280.705,0.241864,-0.27729,-0.0287195
3.2,228.63,-619.668,-283.562,37.9569,-120.513,279.47,0.222523,-0.275988,-0.0279271
3.21,232.77,-615.244,-278.881,34.1603,-106.408,279.224,0.226552,-0.271432,-0.0246585
3.22,247.988,-620.4,-283.618,33.265,-122.427,279.536,0.241364,-0.276042,-0.0283708
3.23,229.772,-619.431,-284.154,38.0289,-121.527,277.731,0.223635,-0.276564,-0.0281621
3.24,231.642,-616.204,-279.673,33.2806,-105.18,275.663,0.225454,-0.272202,-0.024374
3.25,248.56,-621.908,-284.094,32.2972,-120.133,276.688,0.24192,-0.276505,-0.0278391
3.26,232.183,-623.607,-285.909,37.112,-120.821,273.965,0.225981,-0.278272,-0.0279986
3.27,231.197,-619.53,-281.75,33.2868,-103.97,272.61,0.225022,-0.274224,-0.0240935
3.28,249.13,-624.983,-285.103,31.936,-117.389,273.198,0.242475,-0.277488,-0.0272033
3.29,234.227,-626.695,-287.826,36.2139,-120.845,271.317,0.22797,-0.280138,-0.0280041
3.3,230.921,-621.905,-282.94,33.9713,-102.883,269.685,0.224753,-0.275382,-0.0238417
3.31,249.373,-626.421,-285.181,30.8532,-115.225,270.408,0.242712,-0.277563,-0.0267016
3.32,235.81,-628.07,-288.855,36.1678,-121.665,271.048,0.229512,-0.28114,-0.028194
3.33,230.109,-622.046,-283.835,33.9895,-103.436,269.688,0.223962,-0.276254,-0.0239699
3.34,248.089,-624.448,-284.318,31.6302,-114.033,272.447,0.241462,-0.276724,-0.0264254
3.35,236.696,-626.572,-287.971,37.0246,-123.58,273.491,0.230374,-0.280279,-0.028638
3.36,228.002,-618.778,-282.799,35.2376,-105.903,273.515,0.221912,-0.275245,-0.0245416
3.37,246.11,-620.307,-282.03,32.5815,-113.812,276.235,0.239536,-0.274497,-0.0263742
3.38,236.757,-622.031,-285.939,37.0711,-125.783,277.091,0.230433,-0.278302,-0.0291485
3.39,226.146,-615.299,-282.108,35.5256,-108.772,276.68,0.220106,-0.274573,-0.0252064
3.4,243.701,-616.399,-279.628,32.9867,-114.008,278.625,0.237191,-0.272159,-0.0264197
3.41,237.154,-619.756,-284.623,37.6589,-126.912,280.675,0.230819,-0.27702,-0.0294101
3.42,225.016,-613.758,-281.127,36.5272,-109.926,277.955,0.219006,-0.273618,-0.0254738
3.43,241.943,-614.668,-278.902,31.8381,-112.649,278.022,0.235481,-0.271453,-0.0261048
3.44,238.874,-620.351,-284.348,37.4215,-126.051,277.337,0.232494,-0.276752,-0.0292105
3.45,225.68,-616.221,-282.678,36.1622,-110.694,274.84,0.219652,-0.275127,-0.0256518
3.46,241.121,-616.592,-279.664,32.0985,-109.513,274.626,0.234681,-0.272193,-0.0253781
3.47,240.566,-623.916,-285.557,36.0857,-124.095,274.791,0.234141,-0.27793,-0.0287573
3.48,226.601,-619.938,-285.435,35.5038,-110.565,271.274,0.220548,-0.27781,-0.0256219
3.49,240.866,-620.107,-281.402,32.0372,-107.371,270.28,0.234432,-0.273886,-0.0248816
3.5,241.928,-626.359,-286.578,34.7926,-122.481,270.749,0.235466,-0.278924,-0.0283832
3.51,228.085,-623.375,-287.853,35.2995,-110.274,267.755,0.221993,-0.280164,-0.0255543
3.52,239.918,-621.437,-282.782,30.9125,-105.532,267.951,0.23351,-0.275229,-0.0244554
3.53,242.889,-627.734,-286.743,35.0679,-121.644,269.504,0.236401,-0.279084,-0.0281891
3.54,228.6,-623.583,-288.543,35.8046,-112.183,268.422,0.222494,-0.280836,-0.0259967
3.55,238.091,-619.874,-282.207,31.9508,-105.772,270.373,0.231731,-0.274669,-0.0245111
3.56,242.722,-625.172,-284.66,34.6582,-121.61,272.911,0.236239,-0.277057,-0.0281814
3.57,228.511,-621.923,-287.664,36.1654,-114.948,271.799,0.222407,-0.27998,-0.0266376
3.58,235.638,-617.234,-281.32,32.8652,-106.719,273.133,0.229344,-0.273805,-0.0247305
3.59,242.274,-621.366,-282.617,35.0023,-122.02,275.874,0.235803,-0.275068,-0.0282764
3.6,227.835,-618.3,-286.298,36.5362,-117.529,275.196,0.221749,-0.27865,-0.0272357
3.61,233.263,-613.614,-280.126,32.9593,-107.796,275.179,0.227032,-0.272644,-0.0249802
3.62,241.398,-618.83,-280.779,34.9337,-121.398,277.014,0.23495,-0.273279,-0.0281322
3.63,228.776,-616.987,-285.161,37.3391,-118.821,274.126,0.222665,-0.277544,-0.0275351
3.64,232.272,-612.945,-280.259,33.5843,-107.996,273.787,0.226067,-0.272773,-0.0250264
3.65,241.525,-618.644,-280.249,34.3576,-118.995,275.122,0.235074,-0.272763,-0.0275754
3.66,230.117,-619.012,-285.97,36.2423,-119.199,272.521,0.22397,-0.278332,-0.0276227
3.67,232.177,-615.168,-281.895,33.7049,-106.907,271.093,0.225975,-0.274365,-0.0247741
3.68,241.849,-620.925,-281.308,34.1085,-116.433,272.412,0.235389,-0.273794,-0.0269816
3.69,232.106,-622.384,-287.379,35.8006,-119.072,270.347,0.225906,-0.279703,-0.0275931
3.7,232.111,-617.724,-284.009,33.7684,-106.44,268.652,0.225911,-0.276423,-0.0246658
3.71,242.089,-622.443,-281.484,33.7549,-114.441,270.398,0.235623,-0.273966,-0.02652
3.72,233.324,-623.936,-287.707,35.4142,-118.992,268.964,0.227091,-0.280022,-0.0275746
3.73,231.249,-618.328,-284.768,34.2052,-106.959,268.562,0.225072,-0.277161,-0.0247863
3.74,241.231,-621.838,-281.09,33.5006,-113.441,271.051,0.234788,-0.273582,-0.0262884
3.75,233.749,-622.777,-287.122,36.582,-120.173,269.655,0.227505,-0.279452,-0.0278483
3.76,230.365,-617.113,-284.888,34.7211,-109.31,269.51,0.224212,-0.277278,-0.0253311
3.77,240.182,-619.527,-279.944,34.0385,-112.389,272.444,0.233767,-0.272467,-0.0260445
3.78,233.973,-621.004,-285.688,35.9329,-121.012,271.977,0.227723,-0.278057,-0.0280428
3.79,229.25,-615.19,-284.401,34.5113,-111.184,271.472,0.223126,-0.276805,-0.0257653
3.8,238.56,-616.716,-278.592,34.227,-112.218,274.362,0.232188,-0.271151,-0.0260049
3.81,234.303,-618.841,-284.06,36.0483,-122.243,273.384,0.228045,-0.276473,-0.028328
3.82,228.667,-613.707,-284.187,36.0545,-112.314,272.657,0.222559,-0.276596,-0.0260271
3.83,236.745,-614.645,-277.944,34.8336,-111.974,274.905,0.230422,-0.27052,-0.0259484
3.84,235.087,-618.035,-282.999,35.0405,-121.452,272.413,0.228808,-0.275439,-0.0281448
3.85,228.887,-614.613,-285.058,35.0592,-113.717,270.568,0.222774,-0.277444,-0.0263523
3.86,236.656,-615.736,-278.486,33.987,-109.613,272.101,0.230334,-0.271047,-0.0254012
3.87,236.134,-619.114,-282.866,35.4616,-119.389,270.34,0.229827,-0.275311,-0.0276666
3.88,230.25,-617.134,-286.736,35.1112,-113.872,268.452,0.2241,-0.279077,-0.0263881
3.89,236.291,-617.581,-279.972,33.6246,-108.37,270.523,0.229979,-0.272494,-0.0251132
3.9,236.955,-621.696,-283.584,34.8402,-118.253,268.596,0.230626,-0.276009,-0.0274034
3.91,230.018,-618.795,-287.989,34.9843,-114.633,267.254,0.223874,-0.280297,-0.0265645
3.92,235.586,-618.683,-280.773,33.7483,-107.687,268.856,0.229293,-0.273273,-0.0249549
3.93,237.364,-621.842,-282.801,34.3734,-116.855,267.997,0.231024,-0.275247,-0.0270794
3.94,231.231,-618.903,-288.066,35.2314,-115.591,267.361,0.225055,-0.280372,-0.0267866
3.95,234.566,-618.019,-281.551,34.0396,-108.09,269.601,0.228301,-0.27403,-0.0250483
3.96,236.925,-620.438,-281.857,34.5955,-116.274,269.602,0.230597,-0.274328,-0.0269447
3.97,230.773,-617.753,-287.142,36.3201,-117.021,269.402,0.224609,-0.279473,-0.027118
3.98,233.269,-615.537,-280.719,34.4333,-108.736,271.984,0.227038,-0.27322,-0.0251979
3.99,236.079,-616.808,-279.593,34.8169,-116.202,272.192,0.229773,-0.272125,-0.026928
4,230.744,-614.866,-285.679,36.1005,-119.25,271.311,0.224581,-0.278049,-0.0276344
4.01,231.688,-613.004,-279.964,35.5997,-110.055,274.075,0.2255,-0.272486,-0.0255036
4.02,235.013,-614.4,-277.447,35.3804,-115.58,273.158,0.228735,-0.270037,-0.0267839
4.03,230.819,-613.744,-284.603,37.0784,-120.215,271.667,0.224653,-0.277001,-0.0278581
4.04,230.827,-612.027,-280.155,34.8233,-110.567,273.843,0.224662,-0.272671,-0.0256223
4.05,234.692,-612.836,-276.993,35.0626,-114.699,273.136,0.228423,-0.269595,-0.0265798
4.06,230.955,-613.554,-284.559,36.0227,-120.983,271.474,0.224786,-0.276958,-0.0280361
4.07,230.807,-612.903,-281.12,35.4865,-111.481,273.055,0.224642,-0.273611,-0.0258342
4.08,234.656,-613.803,-276.996,35.2301,-113.005,271.731,0.228388,-0.269598,-0.0261873
4.09,232.037,-614.669,-284.777,35.6373,-119.887,269.958,0.225839,-0.277171,-0.0277821
4.1,230.405,-613.632,-282.07,35.4812,-111.255,271.401,0.224251,-0.274536,-0.0257816
4.11,234.382,-614.161,-276.923,35.3056,-111.396,270.235,0.228121,-0.269526,-0.0258143
4.12,232.967,-615.591,-284.991,36.0327,-119.402,268.571,0.226744,-0.277379,-0.0276698
4.13,230.547,-614.782,-283.261,35.5602,-111.392,270.615,0.224389,-0.275695,-0.0258134
4.14,233.856,-614.253,-277.219,35.1268,-110.269,270.397,0.227609,-0.269814,-0.0255533
4.15,232.73,-614.414,-283.706,37.3227,-119.85,270.633,0.226513,-0.276128,-0.0277736
4.16,229.814,-613.281,-283.344,35.5358,-113.508,272.49,0.223676,-0.275776,-0.0263039
4.17,232.83,-611.727,-275.851,35.4842,-110.05,272.298,0.226611,-0.268482,-0.0255024
4.18,232.24,-612.21,-281.732,37.3558,-120.585,271.392,0.226037,-0.274206,-0.0279439
