t_s,Fx_N,Fy_N,Fz_N,Mx_Nm,My_Nm,Mz_Nm,Cd,Cl,Cm
3,505.15,-745.844,-831.352,3.3508,-382.765,339.493,0.491657,-0.809146,-0.0887002
3.01,493.556,-745.032,-838.958,1.07938,-378.1,337.664,0.480373,-0.816549,-0.0876192
3.02,497.989,-738.466,-831.711,1.14801,-375.912,328.337,0.484687,-0.809495,-0.0871121
3.03,502.286,-740.698,-825.445,5.61405,-384.98,342.769,0.488869,-0.803396,-0.0892135
3.04,490.407,-741.27,-833.245,5.61584,-381.455,342.807,0.477308,-0.810988,-0.0883968
3.05,493.245,-735.18,-827.951,5.26087,-377.479,331.975,0.48007,-0.805835,-0.0874752
3.06,499.904,-737.248,-821.293,9.50046,-384.114,343.597,0.486551,-0.799355,-0.0890129
3.07,490.036,-739.226,-829.837,7.80326,-381.643,344.696,0.476947,-0.807672,-0.0884403
3.08,492.471,-734.156,-827.246,5.30079,-375.46,331.329,0.479317,-0.805149,-0.0870073
3.09,500.421,-736.37,-820.631,8.03394,-381.485,340.373,0.487054,-0.798711,-0.0884036
3.1,492.494,-740.567,-830.036,5.38694,-380.967,343.312,0.479339,-0.807865,-0.0882835
3.11,492.387,-735.718,-829.703,1.31449,-374.78,328.865,0.479235,-0.807541,-0.0868497
3.12,502.052,-737.265,-822.677,3.72191,-378.76,334.478,0.488642,-0.800703,-0.0877721
3.13,495.173,-742.321,-831.885,2.11455,-379.142,339.84,0.481947,-0.809664,-0.0878607
3.14,494.15,-738.927,-833.576,0.137294,-370.34,324.425,0.480951,-0.81131,-0.085821
3.15,504.048,-739.248,-826.078,3.20594,-371.323,327.577,0.490584,-0.804013,-0.0860486
3.16,498.759,-744.839,-833.564,4.47707,-371.722,334.323,0.485436,-0.811299,-0.0861412
3.17,495.549,-741.266,-836.77,2.78854,-363.961,320.923,0.482313,-0.81442,-0.0843427
3.18,504.822,-739.986,-827.263,6.50542,-366.679,324.37,0.491338,-0.805167,-0.0849726
3.19,499.457,-743.799,-831.777,7.14273,-371.205,335.814,0.486116,-0.80956,-0.0860214
3.2,494.225,-739.561,-834.269,4.27048,-367.596,326.228,0.481024,-0.811985,-0.0851851
3.21,501.12,-735.507,-822.634,7.16471,-371.402,328.712,0.487735,-0.800661,-0.086067
3.22,496.382,-738.074,-824.02,7.07086,-379.778,342.619,0.483123,-0.80201,-0.088008
3.23,488.663,-733.397,-827.028,3.84913,-378.096,334.87,0.475611,-0.804937,-0.0876182
3.24,495.01,-728.945,-816.335,4.2512,-378.987,334.279,0.481788,-0.79453,-0.0878247
3.25,492.964,-732.13,-817.074,5.39113,-384.726,346.026,0.479796,-0.795249,-0.0891548
3.26,486.436,-730.61,-823.333,2.16184,-378.751,334.931,0.473442,-0.801341,-0.08777
3.27,494.25,-728.339,-816.316,3.70788,-372.803,327.688,0.481048,-0.794511,-0.0863918
3.28,496.443,-735.444,-820.231,5.38752,-374.65,337.009,0.483182,-0.798321,-0.0868196
3.29,491.164,-737.77,-830.23,3.23975,-366.932,325.909,0.478044,-0.808054,-0.0850311
3.3,499.342,-736.966,-826.007,4.43424,-359.494,315.99,0.486004,-0.803944,-0.0833075
3.31,503.02,-743.128,-828.478,6.55082,-361.971,326.34,0.489584,-0.806348,-0.0838814
3.32,497.735,-745,-837.701,3.90859,-359.104,319.468,0.48444,-0.815325,-0.0832172
3.33,502.895,-741.147,-832.019,3.68721,-353.738,310.419,0.489462,-0.809795,-0.0819737
3.34,505.912,-743.976,-830.027,5.19825,-361.66,324.561,0.492398,-0.807857,-0.0838095
3.35,496.861,-743.234,-835.158,2.49887,-364.652,325.249,0.483589,-0.81285,-0.0845029
3.36,497.778,-735.565,-826.841,2.86505,-363.713,319.206,0.484482,-0.804755,-0.0842853
3.37,499.506,-734.415,-819.229,5.15264,-373.423,334.461,0.486164,-0.797347,-0.0865354
3.38,490.206,-732.984,-823.42,3.18984,-376.561,336.596,0.477112,-0.801426,-0.0872625
3.39,489.398,-725.997,-815.998,4.06848,-371.087,326.816,0.476326,-0.794202,-0.0859941
3.4,494.306,-726.477,-810.854,6.97394,-375.418,337.994,0.481103,-0.789196,-0.0869977
3.41,487.836,-729.612,-818.157,6.83893,-376.126,338.205,0.474805,-0.796303,-0.0871616
3.42,489.427,-727.427,-817.302,5.77908,-365.373,323.264,0.476354,-0.795471,-0.0846699
3.43,497.769,-730.738,-815.554,7.99823,-364.693,327.336,0.484473,-0.79377,-0.0845124
3.44,495.072,-737.349,-825.487,6.9049,-363.326,327.723,0.481848,-0.803438,-0.0841956
3.45,495.612,-736.138,-827.15,4.11395,-353.263,311.994,0.482374,-0.805056,-0.0818636
3.46,504.132,-737.915,-824.731,5.23799,-354.445,316.629,0.490666,-0.802701,-0.0821376
3.47,501.183,-743.415,-832.541,3.53103,-359.161,321.824,0.487796,-0.810303,-0.0832304
3.48,497.454,-738.745,-830.513,1.50078,-352.783,310.581,0.484167,-0.80833,-0.0817523
3.49,503.673,-737.092,-824.859,3.6521,-356.529,316.265,0.490219,-0.802826,-0.0826204
3.5,498.652,-738.842,-826.896,3.42077,-363.714,326.83,0.485333,-0.804809,-0.0842854
3.51,493.488,-732.884,-824.378,2.04956,-358.576,315.766,0.480306,-0.802358,-0.0830949
3.52,498.74,-729.44,-817.14,5.20369,-360.231,319.931,0.485418,-0.795314,-0.0834783
3.53,495.561,-732.731,-819.653,7.08513,-367.498,332.543,0.482324,-0.797759,-0.0851623
3.54,490.136,-729.266,-819.827,6.61846,-361.077,321.507,0.477044,-0.797929,-0.0836743
3.55,496.385,-726.913,-814.281,8.71625,-359.393,320.981,0.483126,-0.792531,-0.0832841
3.56,496.225,-732.151,-818.012,9.75527,-365.971,332.304,0.48297,-0.796162,-0.0848086
3.57,491.225,-731.247,-821.335,6.4445,-359.833,320.595,0.478104,-0.799397,-0.083386
3.58,497.562,-729.581,-817.944,6.10629,-356.997,317.271,0.484271,-0.796096,-0.0827288
3.59,499.478,-735.252,-821.282,6.68499,-363.613,327.775,0.486136,-0.799345,-0.084262
3.6,493.076,-734.024,-824.518,2.36183,-358.441,318.654,0.479906,-0.802495,-0.0830635
3.61,497.691,-731.013,-820.079,2.54124,-355.226,312.907,0.484397,-0.798174,-0.0823185
3.62,500.9,-735.399,-821.59,4.27475,-362.397,324.906,0.48752,-0.799645,-0.0839803
3.63,493.562,-734.044,-823.54,1.4842,-356.932,316.296,0.480378,-0.801543,-0.0827138
3.64,496.737,-730.063,-820.104,2.68955,-352.063,309.992,0.483469,-0.798198,-0.0815855
3.65,500.455,-734.16,-820.294,5.57722,-359.383,322.388,0.487087,-0.798383,-0.0832817
3.66,493.869,-734.414,-822.841,4.79386,-354.048,317.124,0.480678,-0.800863,-0.0820454
3.67,496.166,-730.122,-820.55,5.37449,-348.412,307.821,0.482913,-0.798632,-0.0807395
3.68,501.67,-734.442,-821.062,8.91046,-355.369,320.462,0.48827,-0.799131,-0.0823517
3.69,495.302,-735.065,-823.582,5.59676,-353.819,317.766,0.482072,-0.801584,-0.0819923
3.7,496.421,-731.335,-822.448,5.35094,-348.22,308.538,0.483162,-0.80048,-0.0806949
3.71,501.739,-734.412,-820.918,7.59248,-357.518,321.807,0.488337,-0.798991,-0.0828496
3.72,495.312,-735.605,-823.355,4.31572,-358.8,321.68,0.482082,-0.801363,-0.0831466
3.73,494.159,-730.044,-821.431,2.69846,-352.661,310.842,0.480959,-0.79949,-0.081724
3.74,500.071,-732.649,-819.337,5.98074,-358.425,320.846,0.486714,-0.797451,-0.0830597
3.75,494.752,-734.346,-821.124,3.09327,-358.308,320.937,0.481537,-0.799191,-0.0830327
3.76,493.297,-730.27,-821.096,1.23112,-349.422,307.739,0.48012,-0.799164,-0.0809735
3.77,500.485,-733.114,-820.25,5.25158,-352.479,313.353,0.487116,-0.79834,-0.081682
3.78,496.814,-736.028,-821.81,4.12068,-351.78,315.638,0.483544,-0.799859,-0.0815198
3.79,494.535,-732.88,-823.892,2.63339,-342.449,302.603,0.481326,-0.801885,-0.0793575
3.8,502.334,-735.688,-823.394,6.56185,-344.946,308.226,0.488917,-0.8014,-0.0799361
3.81,500.414,-738.724,-824.743,5.5018,-346.926,312.438,0.487048,-0.802713,-0.0803951
3.82,496.889,-734.917,-826.736,1.37831,-339.684,299.554,0.483617,-0.804653,-0.0787169
3.83,504.144,-736.353,-825.868,3.97496,-342.595,304.579,0.490678,-0.803808,-0.0793915
3.84,502.275,-739.255,-825.98,3.15716,-348.475,312.603,0.488859,-0.803917,-0.0807541
3.85,497.58,-735.612,-827.374,-0.739902,-343.73,302.035,0.484289,-0.805274,-0.0796544
