t_s,Fx_N,Fy_N,Fz_N,Mx_Nm,My_Nm,Mz_Nm,Cd,Cl,Cm
3,196.338,192.722,368.151,-2.89304,265.937,-133.237,0.191094,0.358318,0.0616272
3.00667,190.979,190.12,367.165,-4.6432,265.67,-127.559,0.185878,0.357357,0.0615652
3.01333,192.54,190.892,368.379,-4.78605,262.402,-135.898,0.187397,0.358539,0.0608079
3.02,196.091,192.723,367.939,-4.28494,264.997,-132.652,0.190853,0.358111,0.0614093
3.02667,190.86,190.785,366.405,-6.05336,265.399,-126.593,0.185762,0.356618,0.0615024
3.03333,191.856,191.235,368.091,-6.03287,261.077,-134.771,0.186731,0.358259,0.0605007
3.04,196.258,193.456,368.063,-6.19341,263.336,-131.735,0.191016,0.358232,0.0610243
3.04667,190.476,191.435,366.413,-7.70042,263.666,-125.47,0.185388,0.356625,0.0611008
3.05333,191.2,192.093,369.089,-7.41948,257.675,-132.726,0.186093,0.359231,0.0597124
3.06,196.101,194.445,368.858,-7.95733,259.347,-128.878,0.190863,0.359005,0.0600999
3.06667,190.598,192.582,367.906,-9.47159,258.897,-122.776,0.185507,0.358078,0.0599955
3.07333,191.018,192.668,370.002,-8.44959,253.188,-129.412,0.185916,0.360119,0.0586726
3.08,195.746,195.555,370.697,-9.12914,254.205,-126.537,0.190517,0.360795,0.0589084
3.08667,190.324,193.536,369.632,-10.6457,254.448,-120.581,0.185241,0.359759,0.0589646
3.09333,190.88,193.639,372.118,-9.31023,248.917,-126.805,0.185781,0.362178,0.0576828
3.1,195.397,196.675,373.333,-9.8778,250.24,-124.166,0.190177,0.363361,0.0579894
3.10667,190.475,194.582,371.507,-11.2245,251.497,-119.36,0.185387,0.361583,0.0582807
3.11333,190.803,194.27,373.532,-10.1402,246.042,-124.684,0.185707,0.363554,0.0570166
3.12,194.908,197.54,374.626,-9.91897,248.04,-122.339,0.189702,0.364619,0.0574797
3.12667,190.783,195.052,372.14,-11.1542,250.785,-118.26,0.185687,0.3622,0.0581157
3.13333,190.717,194.479,374.324,-8.91406,244.743,-124.246,0.185623,0.364326,0.0567155
