t_s,Fx_N,Fy_N,Fz_N,Mx_Nm,My_Nm,Mz_Nm,Cd,Cl,Cm
3,824.314,-0.223666,-1509.38,0.605203,-738.4,0.318825,0.802296,-1.46907,-0.171113
3.00667,824.692,0.49846,-1510.87,-0.828475,-737.819,-2.52372,0.802663,-1.47051,-0.170979
3.01333,826.156,0.826832,-1513,-4.61746,-736.755,-2.15932,0.804088,-1.47259,-0.170732
3.02,826.952,-0.0903452,-1513.76,-4.45967,-735.217,-2.92302,0.804863,-1.47332,-0.170376
3.02667,827.552,0.852423,-1515.29,-4.6487,-731.169,-5.1168,0.805448,-1.47481,-0.169438
3.03333,829.412,0.969492,-1517.5,-7.21542,-728.861,-3.85029,0.807257,-1.47696,-0.168903
3.04,830.255,0.114707,-1518.08,-6.52168,-728.685,-3.02349,0.808078,-1.47753,-0.168862
3.04667,829.799,0.509036,-1518.81,-4.33144,-728.03,-5.16171,0.807634,-1.47824,-0.16871
3.05333,831.184,0.988778,-1520.81,-5.86148,-728.74,-2.42086,0.808982,-1.48019,-0.168875
3.06,830.873,0.373712,-1520.6,-4.44263,-731.381,-1.31849,0.808679,-1.47998,-0.169487
3.06667,829.274,0.740489,-1519.68,-1.98308,-733.235,-3.1761,0.807123,-1.47908,-0.169917
3.07333,829.465,1.27345,-1519.71,-2.80857,-735.962,-1.35441,0.807309,-1.47912,-0.170548
3.08,827.733,-0.066082,-1518.07,-0.766469,-738.636,0.761114,0.805623,-1.47752,-0.171168
3.08667,825.302,0.461512,-1515.19,1.98189,-739.563,-2.01143,0.803258,-1.47472,-0.171383
3.09333,824.662,0.980886,-1513.41,-0.550079,-741.298,-0.298628,0.802635,-1.47298,-0.171785
3.1,823.339,-0.15696,-1511.69,-0.942282,-743.296,0.313141,0.801347,-1.47131,-0.172248
3.10667,821.433,0.407822,-1509.73,-0.699881,-742.381,-3.75694,0.799492,-1.4694,-0.172036
3.11333,822.875,0.861506,-1510.26,-4.82335,-742.091,-3.28203,0.800895,-1.46992,-0.171969
3.12,822.961,-0.179173,-1510.64,-5.52963,-740.881,-2.54821,0.800979,-1.47029,-0.171688
3.12667,824.176,0.452636,-1512.4,-3.39795,-735.072,-4.92333,0.802161,-1.47201,-0.170342
3.13333,826.818,0.926191,-1515.16,-4.21997,-732.847,-3.11708,0.804732,-1.47469,-0.169827
3.14,827.887,-0.623551,-1516.94,-2.73826,-731.838,-0.516555,0.805773,-1.47642,-0.169593
3.14667,828.058,-0.0993383,-1517.62,-0.774774,-730.565,-3.52985,0.80594,-1.47708,-0.169298
3.15333,828.419,0.775404,-1518.79,-3.67542,-733.909,-3.08712,0.806291,-1.47822,-0.170073
3.16,828.393,-0.797196,-1519.14,-3.63452,-737.036,-1.7407,0.806265,-1.47856,-0.170797
3.16667,827.241,0.576075,-1517.8,-1.99424,-736.99,-4.4452,0.805145,-1.47726,-0.170787
3.17333,827.662,1.11082,-1518.18,-3.7456,-738.575,-3.40157,0.805555,-1.47763,-0.171154
3.18,827.136,-0.537352,-1517.37,-3.33692,-739.247,-1.04384,0.805042,-1.47684,-0.17131
3.18667,826.302,0.469998,-1516.11,-1.3744,-736.612,-2.85534,0.804231,-1.47562,-0.170699
3.19333,826.447,1.41811,-1515.73,-1.58834,-735.762,-1.5773,0.804372,-1.47524,-0.170502
3.2,826.375,-0.685552,-1514.97,0.177415,-735.393,2.08519,0.804302,-1.4745,-0.170417
3.20667,825.13,0.196,-1512.79,3.59644,-733.485,1.31138,0.80309,-1.47238,-0.169975
3.21333,824.453,0.968804,-1512.47,3.71253,-736.504,2.36345,0.802432,-1.47207,-0.170674
3.22,824.005,-1.36029,-1511.55,3.74506,-740.447,3.73302,0.801995,-1.47117,-0.171588
3.22667,822.589,-0.319115,-1509.55,4.25209,-740.566,1.60433,0.800617,-1.46923,-0.171615
