t_s,Fx_N,Fy_N,Fz_N,Mx_Nm,My_Nm,Mz_Nm,Cd,Cl,Cm
3,94.5672,-277.108,-196.314,3.93355,-4.67486,5.56469,0.0920412,-0.191071,-0.00108333
3.00667,98.4486,-269.056,-192.558,0.419235,-0.721222,4.02304,0.0958189,-0.187414,-0.000167133
3.01333,96.0251,-278.425,-192.754,8.04442,-5.4831,8.15379,0.0934601,-0.187605,-0.00127063
3.02,94.5102,-277.915,-196.497,4.83984,-4.70529,5.444,0.0919858,-0.191248,-0.00109038
3.02667,98.0417,-268.5,-192.606,0.433103,-0.934486,3.77433,0.0954229,-0.187461,-0.000216553
3.03333,96.1555,-277.639,-192.856,7.07123,-4.40227,8.26019,0.0935871,-0.187705,-0.00102016
3.04,94.4355,-279.333,-197.131,5.30945,-5.50465,5.19979,0.091913,-0.191866,-0.00127562
3.04667,98.0798,-268.546,-192.838,0.65973,-1.08537,3.14464,0.09546,-0.187687,-0.000251519
3.05333,96.4385,-277.28,-192.597,6.7028,-3.90916,8.56108,0.0938625,-0.187452,-0.000905891
3.06,94.3895,-280.286,-197.277,6.66054,-5.45369,5.68222,0.0918683,-0.192008,-0.00126381
3.06667,98.1014,-268.214,-193.04,0.242079,-1.33176,2.86287,0.0954811,-0.187884,-0.000308616
3.07333,96.3879,-276.493,-192.689,5.43178,-3.55897,8.72216,0.0938133,-0.187542,-0.00082474
3.08,94.1678,-280.576,-197.548,6.7461,-5.70491,5.7302,0.0916525,-0.192271,-0.00132203
3.08667,97.9883,-268.145,-193.019,0.825636,-1.79412,2.6223,0.095371,-0.187863,-0.000415761
3.09333,96.4348,-275.536,-192.471,4.60108,-3.05049,8.78666,0.093859,-0.18733,-0.000706906
3.1,93.7456,-281.134,-197.488,7.61445,-6.06695,6.31812,0.0912416,-0.192213,-0.00140593
3.10667,97.7682,-267.987,-193.23,1.2289,-2.46627,2.20914,0.0951567,-0.188069,-0.000571522
3.11333,96.3834,-274.469,-192.107,3.43837,-2.96392,9.27235,0.0938089,-0.186976,-0.000686845
3.12,93.5501,-281.616,-197.625,8.04209,-6.19438,6.78815,0.0910513,-0.192347,-0.00143546
3.12667,97.1403,-268.373,-193.333,1.81887,-3.10544,2.16047,0.0945456,-0.188169,-0.000719641
3.13333,96.7557,-273.463,-191.549,2.56399,-3.02011,9.59252,0.0941712,-0.186432,-0.000699866
3.14,93.5579,-282.176,-197.99,8.50738,-5.98385,7.41002,0.0910589,-0.192702,-0.00138667
3.14667,96.9009,-268.656,-193.571,2.60588,-3.35384,1.76629,0.0943125,-0.1884,-0.000777203
3.15333,96.6723,-271.919,-191.179,1.28702,-2.13002,9.0923,0.0940901,-0.186072,-0.000493602
3.16,93.5239,-282.586,-198.147,8.11022,-5.74009,7.60879,0.0910258,-0.192854,-0.00133018
3.16667,96.7038,-268.851,-194.031,2.93109,-4.27548,1.51357,0.0941208,-0.188848,-0.000990781
3.17333,96.9175,-271.535,-190.979,0.674072,-1.58276,8.51968,0.0943287,-0.185877,-0.000366782
3.18,93.4749,-282.733,-198.095,8.17546,-5.72469,8.05839,0.0909781,-0.192804,-0.00132661
3.18667,96.7301,-269.782,-194.591,3.91303,-4.55813,0.990581,0.0941463,-0.189393,-0.00105628
3.19333,96.7008,-270.837,-190.897,-0.125527,-0.904117,8.15494,0.0941178,-0.185797,-0.000209516
3.2,93.3517,-283.05,-198.31,8.22238,-5.78508,8.35513,0.0908582,-0.193013,-0.00134061
3.20667,96.5334,-270.285,-195.158,4.53992,-5.36663,1.19484,0.0939549,-0.189946,-0.00124364
3.21333,96.8586,-269.955,-190.624,-0.684717,-1.02173,7.53516,0.0942714,-0.185533,-0.000236772
3.22,93.5657,-283.46,-198.386,7.92384,-4.52212,8.55716,0.0910665,-0.193087,-0.00104794
3.22667,96.2432,-270.978,-195.894,5.43543,-5.84156,1.1675,0.0936724,-0.190661,-0.0013537
3.23333,96.8795,-269.21,-190.339,-1.33317,-0.657696,7.49886,0.0942918,-0.185255,-0.000152411
3.24,93.4605,-282.98,-198.275,7.63028,-4.85741,9.67144,0.0909641,-0.192979,-0.00112564
3.24667,95.7273,-271.917,-196.214,6.81195,-6.41157,1.47081,0.0931703,-0.190973,-0.00148579
3.25333,96.7451,-268.227,-189.864,-1.59984,-0.548081,7.16025,0.0941609,-0.184792,-0.00012701
3.26,93.6606,-282.778,-197.833,7.10186,-4.04895,9.50579,0.0911588,-0.192549,-0.000938285
3.26667,95.953,-272.19,-196.554,7.71729,-6.55309,0.977662,0.09339,-0.191303,-0.00151858
3.27333,96.6534,-267.802,-189.863,-2.4456,-0.932368,6.64991,0.0940717,-0.184792,-0.000216063
3.28,93.4368,-282.642,-197.379,6.94357,-4.27567,10.0684,0.090941,-0.192107,-0.000990824
3.28667,95.6466,-272.536,-197.07,8.48272,-7.57668,1.9769,0.0930918,-0.191806,-0.00175579
3.29333,96.4042,-266.853,-189.22,-2.18141,-1.30384,6.58803,0.0938291,-0.184166,-0.000302147
3.3,93.5961,-282.206,-197.177,5.7202,-3.65747,10.5162,0.0910961,-0.191911,-0.000847566
3.30667,95.942,-273.365,-197.763,9.18366,-8.05979,1.73869,0.0933793,-0.192481,-0.00186774
3.31333,96.0867,-266.511,-189.337,-2.38733,-1.11898,6.29731,0.0935201,-0.18428,-0.000259308
3.32,93.5026,-281.76,-196.656,4.74435,-3.47596,10.7485,0.0910051,-0.191403,-0.000805503
3.32667,95.7196,-274.273,-198.408,10.1584,-8.1054,2.00992,0.0931628,-0.193108,-0.00187831
3.33333,96.0373,-265.91,-189.055,-2.52694,-1.41899,5.4928,0.0934721,-0.184005,-0.000328831
3.34,93.3101,-280.911,-196.08,4.34696,-2.04711,10.5706,0.0908177,-0.190843,-0.000474387
3.34667,95.9251,-275.019,-199.326,10.4364,-8.1984,2.07924,0.0933629,-0.194002,-0.00189986
3.35333,95.796,-265.412,-189.26,-2.61142,-1.84019,4.72488,0.0932372,-0.184204,-0.000426438
3.36,93.4824,-280.394,-195.397,2.87194,-1.98226,10.3426,0.0909854,-0.190177,-0.000459361
3.36667,95.6617,-275.369,-199.419,11.4605,-8.94925,2.63663,0.0931065,-0.194092,-0.00207386
3.37333,95.6874,-265.331,-189.661,-2.33079,-2.1604,4.90569,0.0931315,-0.184595,-0.000500641
3.38,93.227,-279.545,-194.852,2.15181,-1.38137,10.6591,0.0907368,-0.189647,-0.000320112
3.38667,95.6722,-276.069,-199.927,11.483,-9.1432,3.23994,0.0931167,-0.194587,-0.0021188
3.39333,95.3724,-265.008,-189.7,-1.85461,-1.77538,4.07126,0.0928249,-0.184633,-0.000411418
3.4,93.4019,-279.154,-194.289,1.14721,-0.678742,10.4726,0.0909071,-0.1891,-0.000157289
3.40667,95.7194,-276.728,-200.333,12.2626,-8.94957,3.58938,0.0931626,-0.194982,-0.00207393
3.41333,95.5981,-265.095,-190.39,-1.68514,-2.36648,3.75663,0.0930446,-0.185304,-0.000548396
3.42,93.5772,-277.922,-193.471,-0.112255,-0.67834,10.7013,0.0910776,-0.188303,-0.000157195
3.42667,95.483,-277.113,-200.56,12.5637,-9.08568,4.34541,0.0929325,-0.195203,-0.00210548
3.43333,95.0845,-264.657,-190.101,-0.391855,-3.29223,3.65763,0.0925447,-0.185023,-0.000762927
3.44,93.1957,-276.965,-192.752,-1.29137,-0.846139,10.6435,0.0907063,-0.187604,-0.00019608
3.44667,95.5498,-277.733,-200.837,13.2523,-9.25412,5.17164,0.0929976,-0.195473,-0.00214451
3.45333,95.1377,-265.268,-190.995,-0.213011,-3.68079,3.46457,0.0925965,-0.185893,-0.000852971
3.46,92.9838,-276.045,-191.615,-1.73752,0.0575892,10.1239,0.0905001,-0.186497,1.33455e-05
3.46667,95.7179,-277.955,-201.027,12.7929,-8.71655,4.86523,0.0931612,-0.195658,-0.00201993
3.47333,94.7325,-265.027,-191.28,1.10535,-4.37069,3.43763,0.0922021,-0.18617,-0.00101284
3.48,92.6311,-274.68,-190.707,-2.63624,0.0943354,9.87409,0.0901568,-0.185613,2.18609e-05
3.48667,95.5565,-278.384,-201.307,12.4461,-8.91668,5.81356,0.0930041,-0.19593,-0.00206631
3.49333,95.0008,-265.482,-191.905,1.67444,-4.76737,2.90601,0.0924633,-0.186779,-0.00110477
3.5,92.6612,-273.874,-190.322,-3.88305,0.0503342,9.40668,0.0901862,-0.185239,1.16642e-05
3.50667,95.7391,-278.325,-201.115,12.2422,-8.22462,5.96596,0.0931819,-0.195743,-0.00190594
3.51333,95.2426,-266.053,-192.74,2.74098,-5.04716,2.81379,0.0926986,-0.187592,-0.00116961
3.52,92.5906,-273.454,-189.886,-4.0178,0.633943,9.05523,0.0901174,-0.184814,0.000146907
3.52667,95.6779,-278.575,-201.072,11.9863,-7.96693,6.26009,0.0931223,-0.195701,-0.00184622
3.53333,95.1619,-266.432,-193.626,3.54837,-5.09042,2.59409,0.0926201,-0.188454,-0.00117963
3.54,92.4378,-272.664,-189.407,-5.03301,0.647158,9.08724,0.0899687,-0.184348,0.000149969
3.54667,95.6448,-278.382,-200.875,11.1174,-8.12295,6.72934,0.0930901,-0.195509,-0.00188238
3.55333,95.2645,-266.887,-194.473,4.20107,-5.73764,2.87614,0.0927199,-0.189278,-0.00132961
3.56,92.0328,-271.629,-188.536,-5.2717,0.0978586,8.57072,0.0895745,-0.1835,2.26773e-05
3.56667,95.5095,-278.256,-200.588,10.6249,-7.43309,6.90902,0.0929583,-0.19523,-0.00172251
3.57333,95.2778,-266.905,-194.524,5.20815,-6.21929,3.17473,0.0927328,-0.189328,-0.00144123
